"","Hidráulica","Turbinación bombeo","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Residuos no renovables","Generación total"
"1",273942.717,37137.184,886.072,527543.555,16462.618,1785.828,277796.469,34726.411,1360417.671
"2",335115.905,35586.146,-376.313,570615.498,17713.527,1936.836,256565.967,36481.198,1409533.212
"3",412083.928,20777.923,9514.575,401309.303,23207.832,2113.195,280465.201,40299.733,1211088.393
"4",462938.424,32224.911,6448.328,394266.694,28802.687,5768.303,296624.621,8430.225,1240782.857
"5",524633.516,24915.955,-1255.007,472370.504,32599.392,6185.602,288788.038,8507.687,1583328.91
"6",575297.878,17558.316,-1471.13,393106.737,35634.187,6703.449,286409.272,6207.987,1633480.418
"7",442674.096,14232.408,-992.197,182762.839,36731.518,5665.346,279384.091,3357.405,1594342.794
"8",298494.667,14964.396,1195.358,357740.428,35174.505,4273.548,226273.489,5853.414,1350000.541
"9",249707.852,15065.666,1538.727,347450.647,30090.02,4969.407,254941.602,7133.645,1371180.49
"10",213669.447,12390.523,12603.387,328663.628,23596.528,5093.268,278119.301,7939.622,1262877.107
"11",228898.666,29712.251,26993.163,707981.337,15919.174,4864.391,291424.037,8133.975,1470631.806
"12",234311.579,37771.526,21994.659,325797.238,13201.018,4494.647,266886.044,7286.799,1387405.229
"13",307350.643,36019.861,17808.213,428104.51,12116.155,5328.392,299517.95,7659.274,1282252.954
"14",332211.401,36396.056,28982.971,383735.036,15211.102,5628.756,213687.941,7345.418,1016608.404
"15",416376.947,34527.036,21141.981,434330.563,26411.4,6928.255,189335.265,7859.003,1185031.752
"16",514469.363,26295.04,12341.406,319453.061,29960.171,2822.611,175787.554,32525.152,1291776.799
"17",435504.501,27943.348,-1297.145,453154.39,33884.748,2990.763,203032.387,24911.319,1521566.933
"18",403327.254,23677.162,-1296.47,361553.278,34466,2865.549,195398.913,32856.388,1560232.73
"19",366338.009,12152.961,-1442.492,455642.45,36004.91,3037.605,183353.962,22996.971,1574249.026
"20",258794.076,15165.735,22235.591,259079.475,34209.574,2967.758,172278.398,35370.738,1417508.236
"21",202123.646,15987.113,7416.814,164042.652,26542.909,3063.275,183823.299,35171.779,1300818.975
"22",241436.579,32237.559,25578.187,214035.113,22723.813,2555.996,192046.352,35772.943,1441732.555
"23",222384.297,24431.978,39029.619,323455.003,12650.881,2806.027,191536.042,36417.604,1258159.454
"24",370400.092,42356.62,28113.338,650722.414,13356.323,3080.348,183024.768,26139.36,1825262.291
"25",231539.73,29167.832,36181.937,520478.961,16179.925,4482.467,201553.154,33484.939,1538155.551
"26",265569.37,27298.173,19415.6,561004.462,17782.504,5414.068,181285.983,30675.442,1287345.316
"27",380849.414,33562.112,5609.659,510451.883,24628.022,6151.924,191998.623,34538.303,1292182.052
"28",385809.509,38436.538,-1545.682,322716.028,31494.385,4345.035,184621.41,33415.391,1225475.13
"29",349930.251,20197.186,3854.437,476343.425,35666.211,5588.883,206764.949,26514.446,1340997.117
"30",316621.732,8454.132,-1252.325,268359.718,35250.46,5783.632,216445.198,36021.043,1470959.599
"31",248344.943,15961.3,-1365.346,361445.122,35596.663,5440.032,217160.231,37504.776,1529945.586
"32",221703.558,17240.585,-1282.441,278269.448,33596.796,4786.821,200661.283,37374.238,1283999.721
"33",214672.768,11318.306,2290.109,287179.043,27103.273,4200.961,216686.192,35622.602,1226475.83
"34",209971.274,23848.668,6657.008,332639.193,21596.078,3195.23,216202.09,33592.456,1148038.67
"35",188531.802,25538.642,54506.133,336857.697,14184.545,3914.722,210983.795,37848.087,1261881.237
"36",165974.997,30928.611,43086.822,107688.581,11233.02,4809.24,197869.866,27710.451,987487.795
"37",207323.595,43258.257,20348.062,367291.73,11873.667,5479.952,198944.76,30990.439,1072322.949
"38",244593.59,44463.945,15333.174,491187.036,18281.588,4845.669,184425.585,29158.174,1074188.511
"39",333548.241,37924.111,17667.335,578395.305,24365.56,5014.937,196180.552,28693.87,1263165.86
"40",435214.377,41714.359,10095.763,437471.829,28883.158,3854.253,174712.693,28254.155,1155307.922
"41",478891.071,41392.502,-842.282,453393.391,33236.749,4668.87,221067.899,21636.821,1296014.966
"42",333633.209,15689.629,-990.181,342158.735,36042.399,4868.887,215076.303,32656.491,1047146.458
"43",256414.17,12012.598,-1246.963,381808.125,37312.058,5353.823,225558.262,34029.948,1240346.986
"44",201661.94,10607.725,-1309.097,362247.702,35419.261,4717.734,210661.046,35823.253,1183540.962
"45",122528.287,15983.676,1782.332,286911.007,27927.289,4568.152,205001.052,31431.065,1168886.002
"46",110741.639,15630.667,34666.279,200126.788,20343.883,3211.079,213805.02,37158.292,1198514.317
"47",178124.59,17069.926,39679.014,315665.156,13274.178,3537.583,224504.011,34392.236,1421017.365
"48",209331.511,21360.696,35744.77,135416.806,8321.508,3209.363,228975.274,22316.843,1285519.893
"49",192792.129,18309.887,44634.775,555685.491,15602.544,4781.263,254873.385,36436.291,1689971.846
"50",218928.088,19024.449,-1715.181,368634.924,16439.996,3410.3,228951.628,35333.066,1261150.935
"51",331161.416,26212.102,-1302.497,337962.857,27267.493,5893.301,225182.539,35264.502,1123337.179
"52",304075.753,14597.298,-1148.601,392661.752,33453.365,4715.742,249003.391,31129.578,1206267.17
"53",346556.233,10606.7,-998.827,241108.103,33661.134,3834.697,253310.187,27507.579,1231392.211
"54",295282.686,3740.055,97088.789,234610.214,33354.978,4929.87,251759.556,37208.225,1317670.829
"55",237607.613,7193.46,434422.168,387878.747,35287.07,5454.507,257448.367,38575.837,1917124.76
"56",178136.74,6492.934,402278.459,365787.736,31112.425,4704.87,243953.016,38264.374,1657232.81
"57",110557.182,1945.886,-1149.012,317888.384,28157.154,5126.674,232123.835,33089.865,1173500.818
"58",99847.259,4935.203,24508.699,340175.024,25238.753,6418.049,260089.564,36494.117,1280061.98
"59",79745.763,25336.815,67196.243,514994.99,18597.959,4841.388,262199.58,36883.878,1493011.146
"60",102474.616,10447.058,20998.753,539229.594,13197.041,3722.715,248896.413,27215.377,1383419.168
"61",215744.702,18684.217,9219.952,458149.578,15275.588,3501.161,253784.968,33441.12,1268764.615
"62",240443.561,14107.826,-1050.554,593374.923,16066.674,3620.145,257991.785,33872.259,1500498.614
"63",392250.272,22265.234,4778.72,534147.414,22248.181,4236.041,250560.595,34915.968,1287907.844
"64",524690.226,23926.518,18864.135,291007.624,25212.084,4335.759,254347.415,34523.768,1167406.592
"65",552697.674,12695.932,1553.913,371214.144,32032.953,5650.157,272732.674,24944.178,1380381.597
"66",605496.859,6749.624,-1057.865,300182.568,32395.455,5202.753,258304.902,35627.522,1472036.81
"67",361437.134,6793.401,-1112.294,262379.791,36591.857,5227.098,263089.375,37609.578,1398986.122
"68",245010.466,6421.275,6755.555,340575.542,33843.778,5095.701,237892.312,38896.679,1182324.431
"69",174775.062,10885.699,10963.834,208897.495,28643.738,5805.892,257795.447,36943.386,1218202.639
"70",164362.357,5287.813,1565.067,382032.912,20658.444,5336.947,257939.728,37076.516,1207818.302
"71",197733.579,3627.699,5531.69,270708.714,12825.135,3675.32,271167.517,35052.258,1073349.888
"72",206651.395,2472.837,3856.806,328860.161,12671.485,2022.112,253436.937,26118.008,1039967.464
"73",131495.03,4963.729,10155.896,726757.534,15605.837,4876.483,276458.883,33639.49,1543110.852
"74",221430.474,8493.028,7144.156,318790.942,23485.877,5342.305,248106.041,31693.902,1013621.866
"75",200132.786,9209.194,22851.084,473986.275,31154.675,6201.478,269135.184,35762.116,1043830.839
"76",178686.785,15682.171,33730.247,402582.527,25724.805,5764.63,262119.556,32782.669,950153.816
"77",302077.376,10290.874,66813.346,621420.445,35460.804,5861.644,270769.439,24270.919,1330609.257
"78",266470.668,3384.988,224362.319,347042.749,34797.633,5389.346,251548.611,31495.69,1162829.887
"79",199161.329,4.182,467604.496,377958.303,34472.594,4911.831,258473.381,34634.364,1515605.744
"80",156725.948,150.038,480142.088,263386.659,32966.806,3784.405,235196.554,34401.185,1251372.773
"81",103073.651,3936.353,277816.877,364672.339,28060.968,3701.729,224453.364,30778.229,1205196.218
"82",130416.331,13613.499,236515.888,359265.976,22121.294,4352.786,239876.189,34327.317,1324897.974
"83",243630.788,18027.894,235405.085,588284.062,15347.695,4260.904,252114.055,30577.891,1612750.586
"84",413610.263,21966.358,20433.472,516315.277,28925.543,3195.022,250194.327,21752.931,1397801.228
"85",287280.183,20015.774,100164.878,394171.704,38977.426,4165.463,273890.315,28758.296,1261165.007
"86",269668.184,15690.982,-1263.604,425887.595,90623.606,3995.475,244817.944,26219.356,1121353.264
"87",411437.656,18771.724,4124.433,668910.602,110752.033,4059.376,239244.223,25770.562,1473767.375
"88",420455.39,33514.428,-1137.201,438322.747,130256.844,3172.86,197455.514,22306.952,1236166.44
"89",458389.649,27713.849,74405.653,497416.938,184508.348,3625.363,188818.22,20923.311,1447462.895
"90",326459.216,19213.745,328141.547,464523.454,197867.205,3626.346,224884.72,28869.007,1611948.304
"91",257572.389,15985.6,494479.362,702703.285,216928.639,3799.593,237842.464,32701.75,1960833.704
"92",209517.142,17095.988,461951.128,668388.852,190992.433,3232.749,228243.746,31737.064,1810930.291
"93",150212.625,11815.529,418332.05,638260.961,155115.966,3521.164,242930.401,31829.741,1652018.437
"94",240267.683,10714.706,85469.812,858017.434,105574.1,3782.983,243500.257,13680.233,1561007.208
"95",202285.404,15477.369,137430.883,495030.509,46269.485,3756.11,244924.802,25891.269,1171065.831
"96",233144.363,25125.148,124364.446,1062711.647,41018.534,2701.784,238727.954,16752.651,1744546.527
"97",227814.858,28851.855,8267.525,1308593.598,54540.025,4269.769,249188.599,29616.058,1911142.287
"98",306758.08,36397.197,-1358.179,830282.066,62253.228,2855.09,181884.319,22734.52,1441806.321
"99",270285.922,39384.988,2320.652,1141945.948,129577.571,3613.655,238329.325,27755.805,1853213.866
"100",235923.132,17440.895,1713.502,773997.346,181407.039,4175.863,250696.272,32606.121,1497960.17
"101",289607.81,15399.587,-1132.467,738724.988,258720.47,4260.807,245100.181,29217.812,1579899.188
"102",275771.771,6180.607,19919.22,577510.594,228310.004,3787.998,236344.085,30059.868,1377884.147
"103",226436.584,7592.01,6271.719,868237.682,260014.917,4691.78,243986.092,33075.465,1650306.249
"104",178880.721,18499.966,-1345.669,724809.078,235912.585,4241.46,223824.311,33938.813,1418761.265
"105",122543.897,2922.357,64663.551,498674.278,176600.248,4223.832,248530.951,23009.943,1141169.057
"106",111800.572,14327.408,106436.384,657321.514,162376.008,4581.506,245733.525,34473.392,1337050.309
"107",102818.548,18457.607,431766.033,1431317.856,112936.043,4136.553,234813.359,27148.786,2363394.785
"108",300180.331,16400.944,294697.716,959606.523,64895.141,3940.561,240477.36,25444.019,1905642.595
"109",228069.921,18868.963,244541.514,933056.506,142241.661,4388.265,213928.864,26115.551,1811211.245
"110",155261.888,13283.718,363795.421,1000502.417,147710.83,4415.547,214539.637,29186.74,1928696.198
"111",178212.848,16934.131,97269.652,1064277.926,127234.057,5495.125,232830.254,34201.031,1756455.024
"112",260406.525,14311.539,103219.764,1148854.476,274418.748,4276.64,135706.039,17683.061,1958876.792
"113",381482.106,24050.388,143067.642,941266.162,362063.79,4228.056,169180.299,12840.759,2038179.202
"114",231982.171,7773.856,395631.205,684507.108,370581.568,3738.831,156506.797,11132.931,1861854.467
"115",169921.127,17218.618,342405.546,708484.921,393214.976,4199.793,134072.222,24930.783,1794447.986
"116",142520.561,34058.714,321098.264,709830.971,345228.422,3078.285,83814.642,15234.784,1654864.643
"117",102443.511,15002.465,259591.773,794163.728,277593.937,3306.435,47089.309,14217.585,1513408.743
"118",112200.293,32377.369,141918.903,572679.517,186013.756,4210.311,108212.271,16268.182,1173880.602
"119",107823.233,19693.778,267428.165,1000839.799,132103.134,3900.821,131647.659,16272.432,1679709.021
"120",129036.554,37653.534,195374.779,643134.759,99299.887,3253.287,105408.051,12111.055,1225271.906
"121",136497.938,34741.359,22120.766,1614538.718,142217.739,3369.58,124567.228,12836.85,2090890.178
"122",142895.795,19870.946,286337.944,647693.224,205917.849,3882.155,140743.885,12614.528,1459956.326
"123",195311.372,26822.458,142380.622,1156474.321,312663.144,4304.277,152373.136,20070.182,2010399.512
"124",181340.971,29603.894,27168.619,1006824.51,383961.211,3876.493,153079.963,15254.358,1801110.019
"125",171894.803,19596.821,131065.243,1369951.229,427715.397,4282.371,175407.971,7799.516,2307713.351
"126",245917.702,16536.523,294548.67,651484.063,401045.362,4627.359,187885.092,22098.18,1824142.951
"127",186750.698,17890.413,281704.911,874266.144,529532.728,4405.067,161738.8,20873.277,2077162.038
"128",127313.17,29154.746,232330.713,942996.782,469705.706,2595.931,112418.01,19072.932,1935587.99
"129",119489.025,6860.454,313272.112,479995.212,344620.6,2363.777,108319.813,17835.448,1392756.441
"130",155694.01,23877.365,79426.379,753832.405,274689.089,2384.579,87421.968,16930.661,1394256.456
"131",278522.128,33760.987,98863.238,1351550.713,208415.117,2056.017,74101.263,16574.985,2063844.448
"132",351319.721,32493.348,102113.273,1153959.11,182498.582,1824.401,77983.275,10726.77,1912918.48
