"","Hidráulica","Ciclo combinado","Eólica","Solar fotovoltaica","Solar térmica","Otras renovables","Cogeneración","Generación total"
"1",9443.239,168352.16,102134.451,49708.942,1261.838,2778.806,184641.281,518320.717
"2",9265.37,163769.589,88083.972,54799.3,1870.083,2560.933,162379.118,482728.365
"3",11010.636,160597.394,68736.854,60976.258,2178.715,2873.068,174022.202,480395.127
"4",9944.201,139245.145,39248.262,70670.376,3557.666,2971.871,166666.413,432303.934
"5",11518.238,165587.458,38085.538,82574.254,4139.06,3425.188,168582.684,473912.42
"6",12443.217,132021.801,23990.657,89518.735,6869.436,3311.146,161125.139,429280.131
"7",12575.705,297936.846,18981.85,91677.525,8128.731,3390.541,156901.756,589592.954
"8",13057.744,252771.027,16382.119,77897.38,5333.867,3256.591,153169.544,521868.272
"9",12370.994,155993.762,14111.889,68344.019,3702.301,2974.055,152254.487,409751.507
"10",11930.548,274040.392,21231.62,61757.158,2785.859,3029.04,164333.112,539107.729
"11",10108.937,174933.43,72569.879,52364.764,2116.204,3129.045,161620.916,476843.175
"12",10408.214,224849.908,40262.887,38557.354,1080.207,3205.447,171977.722,490341.739
"13",9813.063,124740.781,82138.578,44482.386,1317.929,3155.107,158233.823,423881.667
"14",10260.946,142341.301,68594.585,48974.631,1258.909,2897.572,124993.651,399321.595
"15",11486.632,180230.525,63103.234,72881.791,2242.238,3129.995,131323.009,464397.424
"16",12439.551,145168.705,52459.038,79425.431,4421.003,2893.146,120740.86,417547.734
"17",12818.041,159619.657,24113.88,84000.38,5390.792,2996.997,132124.546,421064.293
"18",11283.044,149616.852,23926.296,80619.039,5314.264,2815.533,121818.127,395393.155
"19",12661.707,347664.596,24544.116,89117.015,6933.007,2654.943,123024.813,606600.197
"20",12600.588,262446.071,21388.134,81690.452,6098.345,2590.849,111272.449,498086.888
"21",11721.02,237796.688,15539.451,62629.073,3536.341,2165.657,118717.897,452106.127
"22",9563.003,206457.169,21863.356,63493.922,2778.006,2395.92,109341.485,415892.861
"23",9190.936,182055.782,54700.636,41453.452,867.768,2633.256,124226.129,415127.959
"24",7584.173,164639.981,59646.1,48307.297,1204.358,2978.652,136496.315,420856.876
"25",8325.584,224439.92,60806.581,53562.315,1629.424,3005.015,138365.736,490134.575
"26",7935.989,169970.39,90356.468,46812.413,710.946,2590.355,118882.986,437259.547
"27",8792.53,146610.023,58121.32,66130.308,3292.27,2866.4,116180.519,401993.37
"28",10711.446,161700.543,37860.643,67643.845,2716.096,2814.978,130153.346,413600.897
"29",11234.442,86554.837,25241.81,83142.104,4958.123,2600.129,127960.018,341691.463
"30",10765.946,108967.127,16384.909,85043.552,6434.47,2901.817,112333.779,342831.6
"31",12659.361,322750.89,20568.773,82743.179,5382.11,3055.126,96903.766,544063.205
"32",12771.186,117856.784,23433.874,72322.26,3608.503,2961.944,117591.859,350546.41
"33",10478.34,125044.741,20631.244,62240.305,3354.041,2949.111,120010.367,344708.149
"34",7237.549,207824.022,20794.16,52188.962,1544.925,5008.755,124031.534,418629.907
"35",5060.828,151272.286,38561.713,51490.591,1825.457,3742.686,124821.591,376775.152
"36",6264.339,185752.241,13448.924,39077.028,643.162,4688.741,131240.186,381114.621
"37",6267.944,46766.415,67168.148,42130.752,883.879,4556.07,126727.994,294501.202
"38",5618.873,3622.132,84025.816,47133.301,1052.777,4319.253,99616.624,245388.776
"39",7499.049,12141.633,67852.31,68646.064,3266.167,4145.773,130046.989,293597.985
"40",9478.754,11537.53,34947.006,69401.451,3732.727,5178.491,121101.046,255377.005
"41",10677.998,6300.68,35068.132,79748.132,4799.534,4855.409,122876.469,264326.354
"42",10841.975,-3692.067,27530.983,84388.555,6509.55,4746.42,116072.63,246398.046
"43",12372.411,197239.629,21180.416,79911.153,6104.363,4701.544,119403.679,440913.195
"44",12259.556,106146.782,16454.816,79230.449,6037.012,4574.945,114602.262,339305.822
"45",11028.694,193337.593,20318.24,68957.891,4276.761,4278.637,105031.86,407229.676
"46",8692.584,191524.959,12003.044,52441.378,1930.8,5031.238,129642.289,401266.292
"47",6785.704,72737.834,38774.168,42746.214,1310.256,4749.42,125125.537,292229.133
"48",2658.096,236867.613,32098.073,32283.796,858.837,4211.753,136403.412,445381.58
"49",1832.836,263650.45,69502.426,42986.793,1127.938,4567.888,144399.939,528068.27
"50",3861.056,118115.54,57379.809,44995.704,954.997,4877.769,133887.436,364072.311
"51",5646.878,134438.159,48252.004,70818.85,3685.37,5066.563,149486.053,417393.877
"52",8811.746,132994.501,26769.422,71709.606,3859.244,4376.091,133782.991,382303.601
"53",9754.461,103872.564,22203.643,86269.578,6011.787,4592.029,146253.642,378957.704
"54",10104.203,236671.79,25418.198,83444.866,6593.4,4472.261,134275.527,500980.245
"55",10684.911,369747.602,19430.386,82163.67,6313.824,4497.114,135127.816,627965.323
"56",10188.819,304899.324,20250.029,67653.224,4195.149,4105.636,133912.716,545204.897
"57",6116.44,242998.031,23044.02,68830.321,4155.85,4403.004,129845.764,479393.43
"58",4392.25,678987.373,15212.993,61866.103,3235.756,4927.44,138983.641,907605.556
"59",1663.706,463143.594,33497.469,49475.096,1890.536,4155.929,147215.726,701042.056
"60",1486.433,350437.838,73701.601,44413.209,1082.441,3820.228,161231.596,636173.346
"61",1377.049,275943.283,71026.684,47139.758,1260.346,4635.991,153619.043,555002.154
"62",1303.107,185877.439,53960.44,50671.432,1579.795,4560.246,144470.143,442422.602
"63",1944.871,36002.199,87846.08,62343.848,2222.816,4244.554,158131.594,352735.962
"64",6770.615,61633.773,53648.291,70756.984,3338.118,4229.296,153090.668,353467.745
"65",7857.954,252228.403,28239.467,80258.679,4487.116,4602.517,130417.043,508091.179
"66",9311.469,257767.652,22570.225,79189.586,5479.715,4496.848,146140.307,524955.802
"67",11419.256,122612.31,23120.569,83880.074,7320.863,3539.85,147107.973,399000.895
"68",11559.98,324169.176,16354.464,71497.994,4685.655,4134.178,142067.464,574468.911
"69",10065.652,349883.142,15085.164,59591.209,2938.126,4057.191,138070.878,579691.362
"70",7488.907,345052.299,30878.401,52747.878,2204.777,3904.428,138650.098,580926.788
"71",4556.233,388340.388,50319.174,39762.244,1096.776,3909.866,141940.048,629924.729
"72",4836.35,332539.95,42973.411,46687.043,1293.616,2649.198,159005.779,589985.347
"73",4832.856,331634.281,68802.536,50742.54,1619.054,3776.287,155324.633,616732.187
"74",6169.385,233862.385,32644.503,58696.982,2677.484,4050.987,145969.364,484071.09
"75",8314.541,216492.06,39451.247,67200.837,3764.866,4269.699,155961.985,495455.235
"76",5478.406,349880.505,54929.791,63908.605,3310.348,4054.282,148727.248,630289.185
"77",9242.694,578820.107,28923.795,83454.705,5481.421,3898.126,143420.209,853241.057
"78",10018.641,581348.832,25612.208,88044.719,6825.33,3637.202,146361.93,861848.862
"79",11466.179,1138388.822,28001.488,152054.781,5758.005,3226.796,144402.386,1483298.457
"80",11126.529,1131865.838,19049.268,164647.901,5228.093,3714.749,143339.218,1478971.596
"81",4749.934,925362.359,30184.471,131372.092,2728.062,3665.975,148763.199,1246826.092
"82",3332.928,654189.34,31957.067,133912.582,2881.476,4669.645,152508.198,983451.236
"83",3980.782,366568.127,102944.56,106792.108,1415.139,3948.858,151303.615,736953.189
"84",3543.821,303911.306,62078.936,83995.317,819.324,3654.735,143342.725,601346.164
"85",3933.761,405801.27,41443.254,101580.22,1042.322,2979.963,158732.258,715513.048
"86",2803.118,229057.106,38692.787,135500.657,2206.868,2863.442,146234.635,557358.613
"87",6611.028,242661.372,61956.056,126841.545,1882.905,2636.974,147008.394,589598.274
"88",7276.841,253740.204,27098.923,138747.101,2013.548,3316.48,146869.596,579062.693
"89",9539.247,322868.682,29171.631,187446.559,4889.369,4276.359,140711.173,698903.02
"90",10175.038,768983.96,26420.897,193540.538,5997.65,3604.828,141648.413,1150371.324
"91",10655.094,1023657.773,19800.649,209146.918,6526.754,4352.962,141921.172,1416061.322
"92",11436.247,822163.045,20022.59,200682.819,5468.605,4313.572,115994.32,1180081.198
"93",10774.231,786752.314,26527.495,166856.831,3803.666,4511.891,126745.691,1125972.119
"94",8239.388,425706.496,44334.848,160582.244,3263.796,4326.037,110270.935,756723.744
"95",6428.965,465285.427,24669.189,112480.275,1362.802,4014.674,140821.053,755062.385
"96",5241.398,382968.077,71799.034,118325.913,1047.715,2870.625,167737.777,749990.539
"97",4268.739,212698.603,73736.704,118529.474,1173.532,3955.07,166099.464,580461.586
"98",5952.294,168721.805,43177.352,116319.166,1081.976,3388.936,145910.412,484551.941
"99",5158.942,218959.752,38065.238,174040.138,2883.413,3946.055,159505.39,602558.928
"100",7721.173,413727.155,21960.493,154301.889,1670.882,4445.379,141643.031,745470.002
"101",8313.676,338738.215,36292.234,229879.846,5392.486,3254.632,153847.307,775718.396
"102",7742.809,349857.588,20371.082,224770.714,5344.01,3599.446,147878.739,759564.388
"103",9297.514,423686.244,23447.522,234987.287,6266.066,3919.894,144863.659,846468.186
"104",9706.571,531022.856,18787.264,200129.027,3752.158,3862.063,129379.035,896638.974
"105",9516.188,514977.865,23505.07,177982.873,3100.197,3315.853,123162.957,855561.003
"106",7692.472,337689.165,19989.18,154130.84,2143.555,3266.095,102323.224,627234.531
"107",5692.786,771679.181,57900.385,125634.468,1308.514,2672.051,116032.451,1080919.836
"108",4910.772,668155.974,61787.66,98776.197,876.398,2955.562,156936.768,994399.331
"109",5307.576,661912.41,37371.563,121389.317,1344.878,4013.074,146003.556,977342.374
"110",5192.061,652802.017,30099.347,139871.665,1824.616,3880.055,138716.657,972386.418
"111",6268.848,510923.838,70690.231,97331.106,794.042,4224.553,156550.989,846783.607
"112",5123.456,413686.091,56901.089,182266.975,3181.284,3838.644,129139.889,794137.428
"113",6862.081,415852.432,24590.961,251554.727,5908.564,3796.359,125131.448,833696.572
"114",8399.321,607066.75,18800.521,255527.569,6060.024,3262.061,112745.482,1011861.728
"115",10963.346,1040486.048,16184.727,255488.316,5987.657,2920.084,79811.972,1411842.15
"116",11771.347,1045677.988,22179.331,237761.815,5222.038,2968.22,80701.361,1406282.1
"117",10171.566,772372.378,23326.176,188893.123,3395.955,3154.238,52572.93,1053886.366
"118",4248.752,763319.797,12050.964,153403.055,1204.168,2897.062,53683.588,990807.386
"119",3121.981,442277.156,62794.248,128101.524,978.98,2029.512,57330.527,696633.928
"120",3257.225,465413.159,35526.399,98982.015,530.291,2671.476,46979.505,653360.07
"121",3626.343,330021.654,56051.534,136931.168,1259.723,2356.086,76614.473,606860.981
"122",3584.451,419969.253,32515.969,122610.801,1077.041,2930.354,103863.871,686551.74
"123",7660.851,377171.393,45719.137,213457.822,4024.465,1779.373,114205.258,764018.299
"124",8870.874,339676.873,34236.671,232050.7,5454.147,1829.883,99853.351,721972.499
"125",7052.074,425507.163,23283.292,213245.069,3026.052,3340.794,118354.377,793808.821
"126",5944.677,405933.39,13183.41,237038.008,4198.788,3500.168,116409.768,786208.209
"127",10531.654,467910.513,16512.362,248116.98,4680.565,2030.679,105914.381,855697.134
"128",9938.869,574994.699,19419.695,254277.481,5762.117,1941.943,78219.583,944554.387
"129",7533.149,470577.035,20549.406,192258.425,2936.607,1764.647,77396.103,773015.372
"130",6350.687,409047.623,34068.469,174729.973,2444.086,1913.657,83622.681,712177.176
"131",5820.84,278935.692,57036.66,150629.892,1374.016,1973.453,74655.762,570426.315
"132",5055.652,299586.05,47375.335,125967.547,1058.044,2148.835,94572.631,575764.094
