"","Hidr치ulica","Ciclo combinado","E칩lica","Solar fotovoltaica","Otras renovables","Cogeneraci칩n","Residuos no renovables","Generaci칩n total"
"1",66999.112,287156.937,32763.432,1214.082,2333.157,154586.339,42869.6685,618263.506
"2",87593.329,256553.618,24879.163,1168.13,1845.302,140920.203,39074.668,578414.297
"3",77879.471,213030.587,33076.768,2226.819,1866.68,167272.149,29700.4185,540445.668
"4",54273.531,150507.052,31433.434,2731.128,6200.333,162110.551,10331.906,417594.725
"5",49720.934,281625.843,28495.421,2722.769,6229.209,160252.835,10868.523,541140.28
"6",54491.78,270971.026,22954.968,3245.463,5893.452,157616.944,8729.795,523903.428
"7",21422.65,385742.543,13277.464,4033.691,6224.917,146189.219,10907.727,587798.211
"8",15769.525,365250.004,19884.755,3472.977,4598.66,101297.586,25766.6365,550853.302
"9",13862.964,307423.607,22160.498,2706.057,6817.517,140365.152,39053.5405,560656.874
"10",14371.479,180253.9,36624.763,1976.739,6821.466,146605.532,39911.792,456023.932
"11",60061.072,198924.105,47104.448,909.092,6648.421,148596.989,32440.5595,521373.011
"12",49149.127,232255.988,43698.336,1208.484,5692.505,150537.019,38938.3285,550768.24
"13",56137.321,165356.45,45514.873,971.716,6636.204,145383.271,37318.131,484472.186
"14",64627.182,116920.153,34560.258,1527.685,2667.901,92650.523,28170.0275,360734.722
"15",73196.281,163434.916,29378.845,2589.715,1782.365,112827.585,12458.654,398458.236
"16",34926.918,143917.408,21161.631,3069.037,1497.409,118920.762,27277.439,367469.467
"17",23424.316,215699.405,30301.912,3425.47,1349.975,164805.961,36448.813,498674.287
"18",20774.8,343437.579,20957.291,3623.305,1404.732,168158.909,38307.214,621518.353
"19",22842.996,315854.647,22885.365,3488.747,1538.997,168320.387,39552.7235,599967.637
"20",19500.01,356727.357,13606.423,3335.452,1347.196,144045.018,27518.6015,578648.553
"21",16495.646,433932.684,16305.776,2962.518,1247.546,164151.285,37990.008,696775.515
"22",12287.435,312017.774,28191.166,2401.89,1618.853,181364.323,33065.1825,590202.863
"23",17474.148,182068.872,45311.652,1097.728,1613.796,168316.61,28906.2725,463515.176
"24",63639.921,191560.727,35705.178,862.456,1420.409,175052.175,35999.1675,527740.792
"25",58225.095,204588.413,28346.676,1170.339,1482.463,188998.312,36575.877,542921.153
"26",89899.831,137887.943,28401.809,970.757,1185.569,165566.98,32443.8425,477512.887
"27",86192.91,176308.398,29721.262,2019.338,1379.827,184041.071,35722.9125,538876.954
"28",36280.711,172811.286,30572.453,2898.397,1371.515,171166.417,15505.2415,430608.664
"29",26934.843,174271.534,36023.417,3179.234,1219.201,177157.963,28294.306,461214.794
"30",22255.663,206142.989,17056.891,3657.928,1293.472,175519.36,35694.553,482429.603
"31",20922.214,437150.507,21073.17,3757.788,1097.449,176200.877,40246.375,723623.362
"32",18131.315,195798.937,22634.714,3512.371,1166.877,147109.697,38368.7435,448654.695
"33",13239.216,165389.986,18259.081,2727.124,1096.799,172585.56,39719.404,436619.369
"34",13740.035,159773.571,34116.306,2052.61,1129.575,176128.374,40614.0475,451431.926
"35",19800.42,195926.598,27660.665,1436.304,1088.434,171655.554,32454.1305,472838.067
"36",16716.938,189360.136,48089.106,1338.588,1041.53,179754.431,38188.4605,498099.486
"37",29522.061,162084.366,39266.747,1100.871,1073.087,171363.352,43050.574,468901.539
"38",50866.113,92096.121,31409.688,1512.745,1147.027,158753.623,34699.9515,387508.725
"39",85173.784,98719.955,33766.18,2009.872,1128.341,171967.967,43661.238,459930.682
"40",53153.221,84743.615,36356.01,2821.174,1161.103,167004.402,26381.529,376984.374
"41",29142.164,144514.132,27706.136,3546.906,1894.598,168258.619,23196.1745,400024.61
"42",21484.935,186677.415,18531.183,3497.656,2719.525,172135.021,36387.8055,460647.761
"43",20580.984,153937.607,20781.078,3603,2909.028,174656.736,44722.705,445937.726
"44",20910.953,68441.801,23704.627,3854.537,3724.415,164431.996,48345.234,358352.449
"45",19970.338,84398.044,21380.892,2862.339,3616.582,150271.686,43113.801,349949.04
"46",13586.697,268513.456,18960.551,2365.607,4297.861,178309.598,35094.584,542311.696
"47",21831.721,360612.055,34793.441,1284.271,3985.663,172007.399,34950.9305,656408.088
"48",15221.639,216133.329,25761.534,1202.556,3230.051,183668.136,44475.3905,518959.289
"49",40501.03,197416.374,37011.942,1469.139,4125.436,183090.845,45630.696,538515.735
"50",40784.071,103267.563,31693.137,1654.414,1728.554,145243.106,38523.8215,389211.947
"51",29536.906,79563.877,31742.641,2758.076,1618.864,181341.069,45602.245,401353.988
"52",23733.572,104677.721,27281.214,3714.721,3517.437,162119.046,30046.285,367398.035
"53",12862.275,144952.038,23323.896,3769.72,4275.706,151778.023,21206.2155,362293.112
"54",13892.498,173422.34,19293.25,3336.85,2851.99,169109.836,49622.4455,459946.76
"55",14082.344,304929.161,24157.071,3647.251,2813.365,169842.086,51541.91,601301.557
"56",14755.314,176776.787,21595.705,3357.402,4494.532,157054.304,51593.654,459543.344
"57",13838.518,250969.446,17500.351,2780.393,4856.913,164615.137,49381.8915,532251.695
"58",11270.363,227546.126,23492.931,2341.696,5267.049,173123.281,50964.1195,522681.075
"59",22035.668,329764.15,35749.683,1482.032,4830.226,184947.669,45157.5975,652520.24
"60",56991.915,153576.261,34807.761,934.966,4151.351,180828.692,48325.4595,508989.853
"61",76028.105,91033.105,33715.44,1089.236,3109.096,184326.734,51980.731,472202.171
"62",69845.238,74861.057,28088.786,1220.825,3239.118,148824.885,45030.7615,399295.571
"63",65342.97,18955.554,46379.994,2299.934,4468.77,148791.866,47877.5925,364170.577
"64",56287.67,57149.622,31150.118,2746.088,4338.41,176088.671,48560.298,405097.554
"65",33605.286,90297.45,20353.814,2944.338,4531.82,181145.919,20878.601,355970.501
"66",35579.045,102487.289,15867.471,3167.217,4218.374,170134.63,43133.861,398690.216
"67",19474.22,107019.034,13264.317,3484.684,4129.815,172503.249,51891.9255,402143.634
"68",13806.032,54947.329,17853.322,3495.967,5065.693,160399.767,53244.4175,339622.802
"69",12399.643,126810.543,16549.847,3204.116,5124.314,170635.466,51904.84,416742.092
"70",12435.582,166668.119,34946.691,2066.858,4588.037,183000.531,51742.9425,485093.556
"71",23888.026,232302.606,41897.149,1358.404,3993.571,179515.267,46908.1625,556253.834
"72",22947.801,224861.696,32075.351,1158.447,5038.324,182299.674,47715.7865,546452.85
"73",40370.228,196421.842,30718.166,993.825,4074.71,194916.343,52593.2605,549986.611
"74",57339.018,166557.962,27230.081,2244.204,1488.559,169617.878,47589.8455,499667.134
"75",26311.523,139407.57,33080.164,3155.05,4258.079,188911.883,53000.012,478651.665
"76",25020.153,144018.211,26674.263,2821.665,4904.86,180331.556,50200.939,462402.305
"77",22958.569,143666.108,30499.286,3390.224,5228.649,185037.218,23193.0565,415137.209
"78",16793.131,435905.029,20466.583,3751.839,3355.166,147166.129,46380.4005,699215.196
"79",20218.794,562310.053,19376.402,3531.39,4877.801,165158.327,51616.89,856789.621
"80",20288.618,693450.36,17051.332,3485.365,4896.224,152239.3,52460.235,974307.556
"81",15939.702,560025.896,24578.96,2935.885,4724.818,162267.739,49952.256,848775.091
"82",16986.119,613482.255,30217.147,2097.968,5349.227,173598.304,51885.7305,923330.907
"83",56089.018,441124.009,39391.644,1180.107,5365.275,182717.952,41325.1755,793510.732
"84",69993.766,378354.452,29859.569,1090.981,5140.901,176904.25,39768.229,728609.806
"85",28102.136,274425.896,35451.032,1749.26,5307.337,190869.204,35082.536,586728.81
"86",20626.718,198493.272,29821.636,3238.95,4788.501,168776.399,38087.627,482046.656
"87",43269.083,185823.494,30042.367,4201.527,4551.965,156399.372,36050.0295,477290.816
"88",31553.459,311134.62,27739.68,4889.968,5037.997,108774.773,15620.622,504751.119
"89",32859.594,240622.74,21614.26,8248.578,4673.985,139169.868,17353.912,464542.937
"90",19766.564,267254.409,14659.028,7529.327,4422.516,151758.379,16266.806,481657.029
"91",20146.987,424074.545,20468.598,8825.827,4727.145,164165.054,18123.1565,663178.025
"92",19579.44,348764.78,20299.905,7543.771,4433.635,129947.7,44486.527,605702.034
"93",18843.992,242988.383,22061.707,6519.957,4045.68,180139.807,45095.343,550143.432
"94",27763.924,120112.219,31576.023,3856.352,4538.752,178647.267,43497.263,441488.12
"95",18616.329,119292.587,34348.888,3180.89,4563.516,201583.729,40324.36,451682.049
"96",70146.415,94733.244,38869.969,1792.349,4706.341,176805.566,46865.0625,462441.215
"97",65721.585,161287.007,21884.058,2176.267,5057.331,176211.819,32567.308,482106.845
"98",54404.335,92510.711,30459.063,3091.262,4959.869,117316.252,39550.408,367145.983
"99",36363.33,107472.145,32427.253,5576.44,5775.072,165372.615,50044.358,433430.982
"100",19311.79,294151.226,31452.504,6496.627,5698.379,170715.999,45591.7155,603969.08
"101",17872.808,118678.792,18112.192,7953.879,5090.09,173378.522,40474.228,405139.732
"102",20553.137,141394.78,17035.913,7684.391,5027.589,159353.255,51926.398,434458.75
"103",21332.813,233507.78,18365.706,8318.117,4871.619,174360.384,51485.6415,543359.1
"104",18915.412,275107.786,17284.923,8018.942,3813.096,155544.76,55194.3025,567476.153
"105",12108.089,426197.548,17536.746,5305.589,4596.96,164439.698,41206.065,691615.332
"106",10345.409,407538.853,24124.498,5030.212,5323.185,163445.611,41366.513,680416.877
"107",26706.254,493922.425,33371.928,1994.528,4476.975,170287.131,38676.9705,800872.928
"108",88060.533,438554.291,36335.059,1808.493,1684.98,163038.3,47825.146,810725.8
"109",49705.226,634181.239,30476.276,3568.838,3354.978,169807.653,52904.7165,976626.69
"110",23027.975,494506.136,22008.249,4130.597,4366.638,154241.351,49057.181,781805.632
"111",36459.435,447296.426,45895.899,4149.437,4637.272,129248.798,51338.5245,751835.477
"112",50792.271,336170.593,25665.851,6214.46,3911.483,134951.715,46229.8335,630899.918
"113",22184.215,362794.56,22726.956,8423.753,4895.146,136518.185,53850.7735,642833.362
"114",14746.089,682497.503,13724.039,7955.933,4439.377,107903.956,47984.011,908668.48
"115",18091.17,820924.164,19196.779,9158.044,3456.888,56596.901,39164.2585,990740.184
"116",19277.612,603412.562,14167.567,6848.078,4663.124,51935.382,41000.448,766206.632
"117",13361.472,755335.852,22202.249,5477.596,4599.423,37347.578,33275.3155,890415.457
"118",10473.979,716527.493,34243.946,3921.111,4344.364,47095.072,39404.3835,883055.917
"119",14981.843,429456.707,36591.122,2191.249,4536.047,92292.746,27354.4875,631180.242
"120",17997.562,356867.8,32651.391,1662.277,5001.858,52210.315,34106.0325,526052.618
"121",29778.049,198053.563,20814.026,1802.334,2071.787,38218.928,39006.9945,355618.921
"122",28490.489,146839.749,24482.076,3563.215,1223.703,134269.703,42149.8425,409175.772
"123",25811.726,164141.805,25028.286,4708.905,1302.373,125163.736,42536.3535,416481.897
"124",18676.032,206290.366,14981.702,6425.262,986.517,96084.246,16994.5285,369980.059
"125",18088.215,206130.412,28630.876,6148.035,1022.793,112064.159,22669.936,403600.165
"126",19092.575,266376.078,17107.295,5781.354,883.546,126116.348,44689.649,512731.822
"127",15589.535,304276.117,16560.265,7443.574,944.954,99671.024,45914.4375,523662.639
"128",13991.677,258634.218,18512.412,7101.766,844.051,89854.97,44155.6015,463574.976
"129",10896.371,365351.051,22041.606,6166.576,885.788,102888.364,44275.182,581590.884
"130",11752.439,231260.379,24063.491,4650.574,902.349,81174.302,43055.8955,423329.199
"131",22353.174,135100.166,28402.299,2457.236,1017.84,46435.217,30133.421,284768.824
"132",33393.374,150471.263,36483.794,2058.297,1354.866,81878.862,43649.327,377028.6
