"","Hidráulica","Motores diésel","Turbina de gas","Turbina de vapor","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Generación total"
"1",222.796,179857.03,34472.491,194068.794,278033.159,24542.069,20252.741,744.283,732193.363
"2",202.935,165998.486,28360.381,194765.835,221752.503,28387.059,19458.058,697.577,659622.834
"3",135.187,179033.259,31584.142,217694.986,244149.131,13294.339,23738.813,800.201,710430.058
"4",135.544,155919.565,36297.751,205583.553,242681.5,27647.999,27151.991,747.981,696165.884
"5",290.772,166034.244,25575.27,195789.121,248314.519,38088.171,27709.879,798.7,702600.676
"6",284.93,161016.578,22272.523,176122.754,243267.361,48342.129,30874.997,697.581,682878.853
"7",284.783,166449.491,31699.094,213944.977,262096.342,41479.147,30902.742,798.744,747655.32
"8",284.87,181710.92,33339.911,213465.726,269105.518,42313.802,26949.798,711.541,767882.086
"9",290.885,170566.372,28380.671,203363.681,269025.269,24539.765,24098.381,628.877,720893.901
"10",302.22,179170.713,35648.485,222809.974,262616.497,24189.817,22189.812,722.197,747649.715
"11",291.985,179914.098,32802.144,206131.407,245003.485,27762.66,17740.243,510.747,710156.769
"12",304.376,184075.314,28541.353,220056.191,249967.322,22146.528,15635.862,644.159,721371.105
"13",303.396,181768.586,26245.404,216697.507,247173.544,29456.386,18995.297,786.872,721426.992
"14",274.364,166356.324,32616.475,176742.116,226925.123,32605.983,20131.841,707.195,656359.421
"15",299.433,183785.667,19291.74,150180.23,278068.431,45693.779,27162.146,777.801,705259.227
"16",289.012,173057.852,21075.913,152334.8,273193.304,27505.592,25918.809,663.434,674038.716
"17",298.858,173462.034,24613.279,145996.242,277994.897,42524.829,29371.409,668.766,694930.314
"18",281.235,175271.106,28774.097,168776.14,249991.121,35023.161,27593.423,643.021,686355.324
"19",306.372,177522.811,25980.511,183304.363,269076.662,45177.292,27932.593,797.432,730106.675
"20",308.505,192306.311,19410.667,180445.913,262773.207,59087.231,29918.848,820.722,745345.649
"21",294.187,182600.031,50069.565,162070.836,316154.11,12367.693,21432.359,628.579,745719.003
"22",270.276,181848.684,36400.457,169781.14,334295.174,15750.273,20632.922,746.802,759886.168
"23",259.646,165674.377,36561.516,168773.923,296834.37,20598.572,16823.303,834.911,706515.373
"24",275.772,187048.568,39704.888,195668.218,256212.309,23738.015,16372.739,731.049,719939.093
"25",302.963,182931.25,27866.816,202134.491,254475.058,41468.698,18338.96,378.989,728282.214
"26",268.974,167024.787,28545.553,176199.239,224932.953,43676.997,17768.263,349.566,659110.673
"27",303.184,184985.012,23963.728,182029.195,253008.326,41791.704,25468.778,447.532,712202.314
"28",291.012,174671.349,23573.82,159569.774,259090.201,28966.517,25099.776,493.868,671852.862
"29",293.694,183635.156,36940.271,150479.185,259198.775,40093.75,29873.021,605.664,701299.031
"30",294.199,162310.734,35205.166,185133.955,240922.827,30388.71,27306.09,795.14,682683.027
"31",302.025,183941.36,28064.483,204034.609,255030.148,59610.985,30356.458,838.07,764250.299
"32",301.953,199440.785,25064.772,206268.151,254343.505,49740.294,26057.349,840.536,763974.804
"33",294.12,197858.969,32474.697,216741.247,259540.697,17421.194,20794.073,865.444,746706.563
"34",309.281,190752.262,23872.946,163090.201,349029.111,10614.166,17895.283,810.068,756826.611
"35",299.742,180923.955,22279.554,155701.447,309576.937,24303.164,18494.509,840.385,713288.253
"36",307.246,193861.903,19953.465,221569.073,268908.251,8610.964,18094.045,788.363,732736.688
"37",307.662,190988.363,18430.33,229357.249,245251.456,19203.504,19686.59,861.786,724877.676
"38",280.305,170676.17,21598.404,206628.441,216888.698,40727.103,20001.838,734.554,679305.832
"39",309.428,189210.208,18340.244,219238.82,231405.546,33659.559,24026.334,824.454,718524.759
"40",297.272,178541.473,19063.167,193721.365,244969.85,25977.747,24141.434,816.618,688809.859
"41",306.254,181497.876,17447.596,173241.376,268636.828,30430.551,25214.813,883.879,698555.906
"42",299.061,174786.027,14135.015,204521.105,236247.333,44238.828,29413.996,679.27,706310.976
"43",311.605,195369.475,15590.228,222425.385,238990.941,56791.595,29165.302,761.146,761974.81
"44",264.923,199040.712,31233.429,236303.294,245328.767,48605.248,27398.407,696.042,791081.608
"45",280.44,172366.814,37598.513,224005.587,238701.597,46716.553,25682.866,737.829,748252.198
"46",269.734,197754.394,27178.258,208579.202,292401.821,13314.827,20207.854,786.367,761196.744
"47",258.593,184448.639,25777.03,172038.612,302452.268,17702.068,17006.975,764.768,721442.793
"48",268.684,187621.392,29508.41,246082.567,247058.636,15713,15714.934,789.062,743769.348
"49",262.545,187922.753,31081.89,210591.342,280539.103,15115.34,18013.853,811.431,745407.228
"50",237.11,166130.771,23292.125,197528.399,234197.798,22686.48,18975.393,720.25,665204.176
"51",263.479,180374.272,24710.709,217664.061,249097.167,36303.305,25348.941,830.736,736714.903
"52",260.033,182196.185,18531.559,240116.471,218370.24,18569.133,25780.479,835.52,705628.124
"53",269.847,187547.679,23627.002,210579.842,253928.912,25519.845,25230.681,813.432,728992.358
"54",270.343,177473.776,23084.35,245173.496,213373.418,40162.352,27578.364,823.178,730157.083
"55",275.071,188916.955,28038.435,239513.297,229739.412,50390.07,29027.198,830.519,769839.964
"56",287.123,204829.048,28412.152,236212.208,259877.869,47397.181,26916.004,681.526,807063.419
"57",267.607,190374.362,32016.894,220949.87,234654.515,54609.197,22973.414,802.313,758985.31
"58",293.598,205566.426,30160.978,221962.174,288990.754,21330.209,19754.671,831.378,789861.464
"59",273.794,185764.503,25835.671,208836.062,280937.362,24032.089,16487.777,803.24,743761.323
"60",311.429,185227.498,25553.941,225266.628,253670.398,39810.132,17539.89,781.736,749447.673
"61",279.432,184470.955,27249.141,230384.784,233901.625,56908.339,19072.745,762.423,755287.211
"62",34.173,165518.859,24751.364,210409.161,215216.772,46206.065,17886.313,646.573,682423.585
"63",309.946,176176.586,19300.776,195203.052,260839.181,50516.178,25114.195,837.294,729896.73
"64",276.123,171464.6,22020.657,189558.611,246337.683,45545.818,25220.664,538.897,703225.699
"65",308.334,172148.367,27236.414,186409.186,248616.789,55351.522,23092.976,750.601,715948.392
"66",294.482,162811.961,24035.203,200030.849,234948.236,56430.291,25995.988,531.015,707399.829
"67",295.596,173812.749,19071.615,206693.728,230145.596,95158.367,29446.832,702.394,759043.16
"68",307.64,196425.653,22413.6,214943.949,251789.052,65080.791,27697.894,816.452,782334.352
"69",288.399,187122.561,28306.326,188605.27,281474.674,51688.221,24131.523,782.909,764565.744
"70",297.373,190675.118,25162.983,201924.623,317069.143,22368.56,19523.974,813.334,778708.419
"71",289.307,163856.027,25639.096,224026.254,256696.966,32447.859,16178.767,850.253,720885.317
"72",296.307,176651.453,18905.634,207242.83,273985.891,44326.591,18710.821,899.452,741928.712
"73",292.916,174264.272,21945.628,218650.612,264507.273,55716.046,17899.612,963.329,755349.344
"74",265.049,152846.857,18942.269,212981.811,221964.823,48413.317,21362.932,822.798,678572.401
"75",298.315,161027.229,19078.325,209060.31,224522.814,96842.352,24927.767,901.071,738613.341
"76",296.753,157061.271,20008.218,199954.574,229693.647,67113.055,24572.315,896.333,701144.535
"77",305.942,150357.952,23358.887,201714.346,220832.5,95432.451,29457.906,944.555,724435.551
"78",276.681,167349.789,14744.834,209910.558,222517.476,74330.709,23363.525,823.3,714689.013
"79",298.419,155889.087,16517.122,137955.038,262048.877,158185.457,29616.449,917.458,765155.245
"80",299.29,173502.642,17472.965,116694.829,290236.489,158502.759,27737.331,712.672,788634.096
"81",282.539,167040.03,24793.183,157509.026,276379.738,100474.589,23527.582,436.619,752661.657
"82",297.947,168134.564,16664.884,170575.942,305832.255,89263.401,20851.228,577.3,773780.358
"83",296.523,151117.394,18703.746,184815.523,233081.27,125116.103,18324.16,873.034,734424.275
"84",299.145,171354.029,16706.254,169188.099,301900.388,68726.336,17279.291,905.106,747518.318
"85",304.314,175823.59,17105.09,146918.518,336411.696,60189.521,18499.905,876.28,756953.464
"86",267.69,160697.783,21870.191,128349.147,279078.482,93155.251,20258.367,845.706,705861.132
"87",299.312,133865.021,12226.845,114048.723,300754.802,97166.353,21187.944,821.683,682194.297
"88",288.387,118219.841,5793.237,98923.324,246048.203,54728.521,22649.498,839.796,548481.932
"89",288.463,127466.343,9423.672,116068.453,229928.777,69749.659,26043.626,705.902,581117.603
"90",272.333,122849.34,8687.415,83296.143,258953.184,103362.193,23750.543,785.058,602698.837
"91",290.301,140505.508,15049.32,114332.13,229387.761,148258.526,27014.46,693.86,679184.288
"92",294.139,152658.745,17289.343,127712.586,217204.814,166390.161,26700.038,690.978,712516.545
"93",291.651,151155.635,21610.752,98396.694,297078.354,92772.315,21008.713,649.58,684875.592
"94",299.756,140275.629,32544.135,128214.5,252830.729,98440.837,20015.422,782.508,674860.239
"95",285.276,147436.17,18073.918,121615.077,292220.538,54913.391,16227.492,743.103,652336.766
"96",299.581,146455.538,16086.775,109732.229,314372.555,61422.595,15507.413,752.527,665587.715
"97",297.621,141051.043,10157.844,116282.053,280660.149,81695.52,16647.461,358.723,648143.584
"98",258.53,112359.525,10355.027,104960.847,269761.362,58777.922,18033.656,699.782,576433.134
"99",282.265,128503.127,14760.713,100758.259,284196.022,84883.153,24504.39,791.785,640601.157
"100",137.806,140012.246,16229.487,70652.976,311210.223,53035.683,22758.418,722.021,615594.768
"101",267.836,126338.086,17203.127,62416.77,236282.777,164670.892,27092.844,722.568,638221.977
"102",282.177,133476.363,15249.77,33486.942,276615.909,150392.79,24760.27,723.959,637990.222
"103",289.726,143305.912,13198.846,66134.21,284609.798,162253.472,27953.649,734.029,702057.86
"104",280.659,156767.682,9736.949,99644.19,284300.525,148350.357,26132.583,569.807,728446.23
"105",277.52,167979.344,32625.578,113210.213,278888.3,107872.593,21642.745,400.133,724325.74
"106",282.507,160017.921,27415.594,112484.255,288429.167,122018.634,21049.276,755.997,734306.806
"107",231.258,150664.999,14576.164,115109.023,314276.444,91768.507,15037.382,753.238,703556.805
"108",155.36,156432.7,17516.617,112916.219,321030.928,92741.406,17045.5,826.638,719893.229
"109",294.213,144976.166,20123.6,117429.802,350332.191,60125.74,18056.703,860.531,713309.862
"110",250.582,129279.228,22304.445,102630.663,285345.007,88964.034,18872.745,720.698,649849.447
"111",296.446,148837.288,22266.894,114410.944,288521.1,109527.701,25064.552,909.844,711961.092
"112",274.072,137061.88,17593.667,103636.366,265372.718,120739.005,26396.03,613.524,673439.79
"113",298.701,142200.139,15375.764,86849.653,303456.635,116965.555,32971.664,721.464,700756.749
"114",281.383,140176.005,14745.179,60625.901,283583.924,160356.527,30752.494,696.106,693667.079
"115",294.361,145155.291,19947.948,73212.087,295517.496,181499.069,34435.164,688.222,754312.581
"116",292.747,144433.342,17951.956,102417.013,269791.372,185782.734,32290.123,715.314,757192.276
"117",288.925,147132.439,27959.973,110953.991,285298.456,123261.338,26566.26,714.812,724251.289
"118",294.009,153679.714,36672.798,118598.82,305386.327,85870.189,26789.278,731.328,729372.535
"119",277.488,154143.472,23967.888,93771.169,309743.418,102221.262,23253.196,764.985,709312.287
"120",288.568,168099.392,22080.762,122696.655,347661.883,37913.118,19060.798,784.532,718952.812
"121",274.975,149652.702,14760.491,118030.389,279418.815,132728.166,22121.485,784.133,719420.66
"122",254.425,151169.05,26990.496,118052.049,289333.13,42670.51,20382.895,711.087,650392.983
"123",290.51,141348.835,16813.075,103679.242,284831.444,130237.42,32808.867,738.428,712320.266
"124",275.807,149842.85,21092.299,89164.951,279543.666,103685.765,30082.971,630.952,675892.598
"125",297.606,152659.216,23467.611,84880.949,275340.984,131928.437,30799.336,650.556,702091.89
"126",283.537,159425.867,20997.603,84905.441,351459.231,64374.502,30793.143,665.131,713713.193
"127",301.866,147371.253,15379.734,101065.799,250521.088,209601.421,35178.874,646.073,762825.165
"128",289.545,158138.185,16795.183,105316.15,306931.096,178402.488,33707.68,374.827,802654.982
"129",289.241,154769.625,18188.441,105510.948,329650.785,103232.878,31407.26,372.117,744736.287
"130",302.935,179467.481,30707.765,119677.701,385374.231,57758.575,29699.7,524.304,803955.932
"131",280.453,168212.242,24331.887,90916.317,320607.765,99872.925,25097.703,424.542,730833.799
"132",305.611,171035.566,26447.643,96450.06,343705.416,70816.05,23549.02,445.379,733423.875
