"X";"Andalucía_EInd";"Aragón_EInd";"Asturias, Principado de_EInd";"Balears, Illes_EInd";"Canarias_EInd";"Cantabria_EInd";"Castilla - La Mancha_EInd";"Castilla y León_EInd";"Cataluña_EInd";"Ceuta";"Comunitat Valenciana_EInd";"Extremadura_EInd";"Galicia_EInd";"Madrid, Comunidad de_EInd";"Melilla";"Murcia, Región de_EInd";"Navarra, Comunidad Foral de_EInd";"País Vasco_EInd";"Rioja, La_EInd";"Andalucía_IPI";"Aragón_IPI";"Asturias, Principado de_IPI";"Balears, Illes_IPI";"Canarias_IPI";"Cantabria_IPI";"Castilla y León_IPI";"Castilla - La Mancha_IPI";"Cataluña_IPI";"Comunitat Valenciana_IPI";"Extremadura_IPI";"Galicia_IPI";"Madrid, Comunidad de_IPI";"Murcia, Región de_IPI";"Navarra, Comunidad Foral de_IPI";"País Vasco_IPI";"Rioja, La_IPI";"Andalucía_DInd";"Aragón_DInd";"Asturias_DInd";"Baleares_DInd";"Canarias_DInd";"Cantabria_DInd";"Castilla y León_DInd";"Castilla-La Mancha_DInd";"Cataluña_DInd";"Comunidad Valenciana_DInd";"Extremadura_DInd";"Galicia_DInd";"Madrid_DInd";"Murcia_DInd";"Navarra_DInd";"País Vasco_DInd";"La Rioja_DInd";"Ceuta_DInd";"Melilla_DInd"
"1";"X2011T1";9.49;20.25;14.9;8.5;5.3;15.3;16.1;14.38;18.4;2.2;18.03;10.4;15.15;9;1.3;12.2;24;25.7;26.4;115.44;99.8;104.26;132.31;116.64;100.93;120.4;110.29;97.43;91.82;108.54;108.89;111.98;96.8;98.76;106.3;136.13;8.5;18;14;8;5;15;14.22;15.6;17.75;17.67;10;14.75;9;12;24;30;26;2;1
"2";"X2011T2";9.32;20.6;14.3;7.3;5.45;16.8;15.48;14.64;18.15;1.1;18.87;10.25;15.97;9.1;1;12.6;25.1;25.1;25.2;106.7;106.38;102.5;135.61;122.66;101.53;119.3;109.79;98.15;92.59;104.53;100.34;107.2;93.77;97.5;107.87;125.88;8.75;18.33;14;7;5;16;14.44;15;17.75;18.33;10;15.25;9;12;25;28.5;25;1;1
"3";"X2011T3";9.5;20.45;14;6.9;4.75;17.1;15.76;15.02;17.7;1.9;18.73;10.85;16.2;9.7;2.6;13.1;25.1;23.87;23.2;113.41;99.19;97.6;156.41;128.46;94.2;110.13;104.61;93.45;85.58;117.3;94.41;94.45;93.21;83.36;96.06;113.46;9;17.67;14;6;4;17;14.78;15.4;17.25;18.33;10.5;16;9;13;25;26.5;23;1;2
"4";"X2011T4";9.4;20.5;13.6;7.8;4.55;16.5;15.28;15.28;17.8;2.1;18.1;11.2;15.55;10.2;2.5;13.1;27.1;23.3;22.3;111.52;93.64;95.99;116.82;124.64;95.27;117.73;104.05;92.37;85.35;105.47;95.87;100.38;88.24;85.5;103.05;121;8.5;18.33;13;7;4;16;15.33;14.8;17.5;17.67;10.5;15.25;10;13;27;26;22;2;2
"5";"X2012T1";9.41;19.75;14.4;8.3;4.75;17.1;15.66;14.98;17.38;1.1;18.53;11.3;15.85;9.5;2;13;25.9;23.17;23.5;113.49;100.44;98.79;126.92;119.78;98.2;114.62;97.92;94.93;84.85;96.63;94.54;96.8;86.31;89;104.95;117.06;8.38;17.33;14;8;4.5;17;15;15.2;17;18;11;15.5;9;13;25;26.5;23;1;2
"6";"X2012T2";9.39;18.35;14.9;6.7;5.1;17;16.04;14.95;17.32;2.1;18.57;11.5;15.8;9.2;1.3;13.1;25.2;22.4;23.3;103.88;98.33;96.25;129.34;114;100.75;107.53;96.61;93.71;85.93;82;93.43;96.88;86.78;88.91;101.44;115.78;8.62;16;14;6;4.5;17;15;15.6;16.5;18.33;11;15.25;9;13;25;24;23;2;1
"7";"X2012T3";9.39;19.65;15.3;6.7;5.65;15.2;16.56;14.74;17.52;4.2;18.53;12.05;15.3;9.6;2.3;13.5;26;21.87;24.3;103.47;94.75;89.7;150.61;122.23;89.66;98.02;97.3;86.08;80.53;106.43;92.11;88.74;87.13;77.21;88.65;106.71;8.75;16.67;15;6;5;15;14.44;16;17;18.33;11.5;14.75;9;13;26;24;24;4;2
"8";"X2012T4";9.47;19.45;14.7;7.1;5.1;15.7;16.56;15;17.53;4;18.07;10.95;15.1;10.1;2.7;14.1;25.3;21.73;24.4;99.71;89.6;90.26;109.79;117.38;90.47;105.07;96.37;88.91;81.68;84.17;92.35;93.64;82.86;82.16;96.46;114.49;8.75;17;14;7;4.5;15;14.89;16.2;16.75;17.33;10.5;14.5;10;14;25;24;24;4;2
"9";"X2013T1";9.2;18.55;14.8;5.9;5.5;16.4;17;14.67;18.3;3.2;18.37;10.9;15.15;9.6;3;13.7;26.3;22.03;25.5;95.63;88.59;89.93;111.98;108.43;92.98;95.26;90.73;91.68;82.03;78.74;95.36;90.77;77.62;84.36;94.42;111.56;8.5;16;14;5;5;16;14.67;16.6;17.75;18;10.5;14.75;9;13;26;24.5;25;3;3
"10";"X2013T2";9.12;18.5;14.5;5.2;5.4;17.2;15.06;14.76;17.77;4.5;18.73;10.5;14.88;9.3;1.9;12.7;26.2;21.6;27.9;98.47;96.75;90.53;126.46;111.26;98.08;99.6;92.85;94.98;88.77;90.13;99.86;95.14;85.31;88.99;100.57;111.97;8.38;17;14;5;5;17;14.56;14.6;17.5;18.33;10;14.5;9;12;26;23.5;27;4;1
"11";"X2013T3";8.84;18.1;14.6;4.9;5.05;16.3;14.52;14.64;17.27;6.1;18.3;10.5;14.68;9;3.6;13.7;25.9;22.67;26.5;101.01;97.94;90.32;141.17;117.86;85.81;97.36;98.38;88.69;83.51;108.04;94.72;86.07;85.51;77.26;86.46;96.63;8.38;15.67;14;4;5;16;14.44;13.8;16.75;18;10;14.5;9;13;25;25;26;6;3
"12";"X2013T4";9.06;18.05;15;6.4;5.45;16.7;15.34;14.79;17.68;5.8;18.37;10.55;14.5;9.2;3.7;12.8;25.9;22.33;26.4;100.4;89.14;95.97;113.81;116.23;88.36;103.14;96.46;91.87;85.81;87.92;94.4;93.89;81.97;83.46;96.65;112.74;8;16.33;15;6;5;16;15;14.8;17;17.67;10.5;14;9;12;25;25;26;5;3
"13";"X2014T1";8.9;18.3;15.3;6.4;5.2;16.9;14.92;15.48;17.65;4.4;17.2;11.5;14.7;9.3;2;13;25.8;21.77;25.9;102.42;94.81;85.7;113.23;107.64;91.59;107.29;92.3;94.7;86.04;87.35;95.25;91.3;79.02;89.96;95.33;115.39;7.62;17;15;6;5;16;15.78;14.4;17.25;17;11;14.25;9;13;25;24;25;4;2
"14";"X2014T2";9.14;18.5;15.8;5.7;4.65;16;15.12;15.05;17.68;3.4;18.07;11.15;14.7;8.3;3.6;12.6;25.1;21.83;26.3;102.49;100.47;91.59;124.51;110.54;93.65;105.09;94.08;95.32;93.09;88.41;92.99;90.24;84.37;94.48;97.02;117.03;7.88;17;15;5;4.5;16;15.22;14.8;17.25;17.67;10.5;14.5;8;12;25;24.5;26;3;3
"15";"X2014T3";9.53;18.95;16.3;6.5;4.6;16;15.16;15.14;17.52;4.9;18.33;10.95;15.25;8.9;1.8;12.9;26.1;22.57;25.9;103.06;98.8;90.57;136.69;115.7;85.36;102.53;98.49;88.72;85.33;108.19;89.32;87.17;86.43;81.59;88.08;107.98;8.5;17;16;6;4;16;15.44;14.8;17.25;18.33;10.5;14.5;8;12;26;25.5;25;4;1
"16";"X2014T4";9.4;19.15;16.1;7.8;4.25;16.6;15.18;14.87;18.1;3.3;18.3;10.35;15.35;9.2;3.8;13.7;24.9;22.17;25.8;97.96;95.72;94.02;117.55;118;89.17;106.67;96.47;94.42;87.29;90.49;91.24;92.9;81.92;85.47;97.88;116.35;8.38;18;16;7;3.5;16;14.78;14.8;17.5;18;9.5;15;9;13;24;25.5;25;3;3
"17";"X2015T1";9.33;21.25;15.7;7.9;4.4;15;15.18;15.06;17.82;3.1;18.73;10.45;15.25;9.6;2.9;13.2;24.9;22.87;24.8;101.21;95.58;96.65;119.49;108.75;89.62;105.24;94.78;96.28;90.49;89.32;95.24;91.55;81.59;90.3;94.51;123.19;7.88;19.67;15;7;4;15;15.11;14.6;17.25;18.33;10;14.75;9;13;24;26;24;3;2
"18";"X2015T2";9.4;21.8;15.4;7.1;4.6;15.4;15.2;15.12;17.9;2.5;18.67;10.45;15.55;9.4;2.5;12.9;23.6;23.43;26.4;107.24;103.91;95.95;124.01;109.24;92.28;108.79;100.21;97.34;97.45;89.29;97.92;94.64;89.43;97.34;102.4;114.88;8.38;19.33;15;7;4;15;15.11;14.8;17.5;18.33;10;15;9;12;23;27;26;2;2
"19";"X2015T3";9.47;21.75;15;7.3;4.6;15.3;15.4;15.23;17.4;2.7;17.77;10.7;15.25;8.9;2.8;12.1;24.4;24.53;26.1;108.84;100.11;97.48;146.35;119.72;87.22;104.48;105.22;92.64;92.37;115.07;94.87;90.03;88.35;84.55;94.36;113.59;8.62;19.33;15;7;4.5;15;15;15.2;16.75;17.33;10;15;8;12;24;28;26;2;2
"20";"X2015T4";9.01;21.4;13.9;7.5;4.55;15.3;14.92;15;18.1;1.2;17.47;9.6;15.15;8.5;2.9;13;24.6;23.5;26;103.69;94.39;99.28;109.87;113.35;84.63;109.88;97.5;96.57;92.3;85.76;96.18;96.92;84.62;87.51;101.34;119.71;7.75;19;13;7;4.5;15;15.22;14.6;17.75;17;9;14.75;8;13;24;27;26;1;2
"21";"X2016T1";9.06;20.8;14.2;7.5;4.75;16;15.22;15.73;18.4;0.8;18.23;10.45;15.2;8.4;4.3;12.6;24.5;23.87;25;102.49;97.77;92.13;116.01;111.6;87.8;114.64;97.44;97.35;96.23;83.8;101.44;96.41;76.82;90.96;99.15;114.74;8.12;18.67;14;7;4;16;15.78;14.6;17.75;17.67;10;14.75;8;12;24;26;25;0;4
"22";"X2016T2";9.04;20.6;14.9;6.5;5;15.7;15.14;16.24;18.23;1.2;17.87;9.85;14.85;8.1;3.6;13.1;25.5;24.4;24.9;102.44;103.29;89.52;132.65;109.93;94.65;115.34;100.55;104.02;101.04;98.94;99.16;102.49;84.56;99.63;106.13;120.72;8.62;17.67;14;6;4.5;15;16;14.8;17.75;17.33;9.5;14.25;8;13;25;26.5;24;1;3
"23";"X2016T3";9.62;19.8;14.4;6.3;5.35;15.2;15.24;16.39;17.35;1.5;18.07;10.05;15;8.1;2.2;13.1;25.1;24.17;25.4;107.36;92.74;88.66;140.36;112.34;85.14;99.62;98.29;94.39;92.14;105.92;95.22;93.06;88.49;85.44;91.11;104.05;9.38;17.33;14;6;5;15;16.11;14.6;17;17.67;9.5;14.5;8;13;25;26.5;25;1;2
"24";"X2016T4";9.2;19.95;15.9;6.6;4.7;16.3;15.84;16.3;18.08;2.6;18.93;10.5;15;8.4;4.7;13.1;25.3;25.07;23.9;107.78;97.28;95.63;115.12;111.16;88.57;108.27;97.86;98.77;94.63;83.6;97.13;96.24;84.18;90.25;100.74;111.19;8.62;17.33;15;6;4;16;16.33;15.4;17.5;18.67;10.5;14.5;8;13;25;26.5;23;2;4
"25";"X2017T1";9.11;19.8;15.7;7.4;4.15;15.5;15.96;16.18;17.5;3;20.43;9.7;15.07;8.8;1.3;12;25.9;24.97;24.4;107.7;105.72;99.59;120.26;109.39;96.15;110.24;99.98;103.86;99.71;94.2;98.38;101.82;89.09;98.01;105.83;117.55;8.75;16.67;15;7;3.5;15;16.22;15.4;17;20;9;15;8;12;25;27.5;24;3;1
"26";"X2017T2";9.22;19.5;15;7.4;4.25;14.9;15.46;16.16;17.25;1.6;20.87;9.65;15.55;8.9;1.5;12.4;27.2;24.93;23.3;107.62;105.98;102.25;135.42;106.31;96.1;106.48;101.22;103.24;101.01;93.46;101.04;100.27;89.26;97.3;105.12;111.39;8.88;16.67;15;7;4;14;15.89;15;16.75;20.67;9;15.25;8;12;27;27;23;1;1
"27";"X2017T3";9.21;19.95;15.4;6.9;4;14.5;15.72;16.36;17.6;1.7;20.43;8.75;15.5;8.7;1.5;13;27.2;25.17;23.1;109.82;99.67;97.21;132.36;110.33;91.95;94.44;98.3;96.72;93.02;104.28;98.59;91.99;92.67;83.21;96.54;102.59;8.88;17;15;6;3.5;14;16.33;15.2;17.5;20;8.5;15.25;8;13;27;28;23;1;1
"28";"X2017T4";9.31;20.95;14.4;8.9;4.15;15.5;15.74;16.72;18.35;1.9;19.47;8.6;15.6;9;3;12.2;27.3;24.73;25.6;115.95;103.14;109.81;118.01;117.85;96.7;107.04;101.64;105.36;93.79;96.92;102;95.68;103.58;92.24;106.99;117.61;8.75;18;14;8;3.5;15;16.78;15.4;17.75;18.67;8;15;9;12;27;27.5;25;1;3
"29";"X2018T1";9.44;21.65;14.4;9;4.15;15.7;16.36;17.16;18.08;2.7;19.17;8.3;15.32;8.5;2.6;12.8;25.7;24.8;23.9;107.35;106.08;102.76;115.47;107.2;105.28;108.69;99.27;105.68;98.02;99.14;106.24;101.01;90.26;95.76;105.68;115.49;8.88;18;14;9;4;15;17.11;16;17.5;18.67;8;15;8;12;25;27.5;23;2;2
"30";"X2018T2";9.93;21.9;14.9;7.4;4.4;16.1;15.98;17.94;18.1;2.7;18.17;8.3;15.28;8.4;2.7;12.2;26.6;24.23;26;105.59;111.5;103.22;127.47;112.87;104.08;112.64;102.26;108.62;101.93;91.75;109.02;98.99;94.64;100.28;110.57;111.17;9.38;19.33;14;7;4;16;18;15.6;17.5;17.67;7.5;14.75;8;12;26;27.5;26;2;2
"31";"X2018T3";9.59;21.1;14.1;6.1;4.25;15.8;15.5;17.89;17.68;4.5;18.2;8.8;14.85;8.9;3.5;13.7;26.9;23.83;27.1;105.89;96.86;102.97;135.65;111.38;97.71;97.43;96.41;96.22;94.44;114.36;100.12;95.3;93.22;86.45;95.1;95.78;9;18.33;14;6;4;15;17.89;15;17.25;18;8;14.25;8;13;26;27;27;4;3
"32";"X2018T4";10.06;20.9;14;6.5;4.2;15.7;14.84;17.71;17.95;5.4;18.23;9.1;14.8;8.5;2.7;14.6;27.4;22.77;24.7;109.37;104.36;109.5;106.87;110.78;101.03;103.79;102.86;101.89;97.04;87.3;104.22;102.05;93.84;89.65;104.6;101.98;9.75;18.67;14;6;3.5;15;17.33;14.4;17.5;18;9;14.25;8;14;27;25;24;5;2
"33";"X2019T1";9.66;20.25;14;7.1;4.6;15.4;15.34;17.64;17.75;5.1;18.63;9.55;15.38;9.1;2.4;13.9;26.3;21.83;24.3;110.25;108.88;103.44;109.67;108.65;104.57;108.43;103.93;105.78;99.02;92.81;100.13;102.32;93.51;96.99;107.87;112;9.12;18;14;7;4;15;17.78;14.8;17.25;18.33;9;15;9;13;26;24;24;5;2
"34";"X2019T2";9.86;20.95;14;6.1;4.75;15.1;16.46;17.39;17.5;4.5;18.67;10.8;15.77;8.6;2;13.7;25.6;22.2;24.3;106.69;110.69;101.1;117.88;105.73;103.62;108.84;101.96;104.95;102.48;94.64;99.57;104.48;103.47;102.1;109.17;107.93;9.12;18.67;14;6;4.5;15;17.22;16;17;18.33;10.5;15.25;8;13;25;25;24;4;2
"35";"X2019T3";9.81;20.9;13.9;6.2;4.75;16.3;16.34;17.14;16.82;2;19.57;11.05;16.35;9.2;2.9;13.9;26.7;23.4;26.1;108.4;98.9;98.07;122.54;110.96;93.83;97.08;102.09;96.22;96.65;111.66;98.09;97.55;106.17;98.01;99.73;101.89;9.38;18.33;13;6;4;16;17;15.8;16.5;19.33;10.5;15.75;9;13;26;26.5;26;2;2
"36";"X2019T4";9.89;19.6;12.9;6.6;4;16.2;16.1;17.6;16.85;1.6;18.9;11.35;16.15;8.8;2;13.8;25.1;22.77;24.5;106.77;103.44;98.21;104.62;109.3;96.77;104.31;106.09;100.49;98.48;84.94;105.84;102.12;96.88;111.61;108.96;110.23;9.62;17.33;12;6;3.5;16;17.44;15.8;16.25;18.67;11;15.75;8;13;25;25.5;24;1;2
"37";"X2020T1";10.78;21.8;14;7.2;4.05;16.5;15.64;17.42;17.08;3.5;19.57;11.5;16.98;8.4;1.3;14;27;22.33;24.5;97.04;101.78;95.93;97.53;106.26;93.78;100.08;97.88;99.32;95.91;93.14;99.31;98.76;93.66;95.95;98.67;105.91;10;20;14;7;3.5;16;17.33;15;16.75;19;11;16.5;8;14;27;25;24;3;1
"38";"X2020T2";10.36;22.35;14.9;6.1;5.35;17.2;15.16;17.42;17;3.2;18.9;11.05;16.9;8.9;1.3;12.9;26.3;22.9;23.7;83.44;78.85;74.29;75.46;84.13;78.75;78.2;80.9;78.74;78.75;69.46;70.5;83.78;93.89;76.45;79.13;79.4;9.62;19.33;14;6;5;17;17.33;14.8;16.5;18.33;10.5;16.5;8;12;26;25.5;23;3;1
"39";"X2020T3";10.7;20.85;14.3;6.9;4.6;16.6;14.88;17.15;16.7;4.7;18.17;10.85;16.05;9;1.7;13.4;28;22.33;24.8;102.07;99.64;81.94;96.78;97.75;91.32;93.41;99.51;91.72;96.48;113.6;96.31;95.79;107.31;93.55;89.78;87.94;10.25;19.33;14;6;4;16;16.67;14.4;16;17.33;10.5;15.75;9;13;28;24.5;24;4;1
"40";"X2020T4";10.36;21.2;13.2;7;5.15;16.5;15.8;16.59;16.73;4.9;18.27;9.7;15.62;8.8;1.4;14.6;27.3;23.07;26;98.39;106.57;92.93;89.78;101.19;97.89;108.69;101.19;99.63;102.4;98.93;103.07;101.25;95.8;96.36;98.03;106.78;9.75;19.33;13;7;4.5;16;16.22;15.6;16.25;18;9;15.25;8;14;27;25;26;4;1
"41";"X2021T1";10.65;22;13.6;6.7;5.35;17.5;15.84;17.04;16.95;3.3;18.07;10.35;15.45;8.2;0.7;14.2;27.6;23.43;26;93.41;103.32;96;90.86;96.93;104.61;110.72;98.17;101.5;98.64;94.38;107.91;98.22;91.75;97.13;99.78;100.82;10;20;13;6;5;17;16.78;15.2;16.5;17.67;10;15;8;14;27;24.5;26;3;0
"42";"X2021T2";10.25;20.75;13.7;6.6;5.3;16.1;15.3;16.57;17.5;3.6;18.03;11.3;15.38;8.4;1.2;13.2;28.1;23.4;27;101.21;100.79;99.29;93.72;95.02;100.65;97.65;94.99;102.88;102.38;98;99.11;101.24;102.24;104.73;104.02;100.97;9.62;19.33;13;6;4.5;16;16.11;14.8;17.25;17.67;10.5;14.75;8;13;28;24.5;27;3;1
"43";"X2021T3";9.64;19.15;14.6;5.8;5.55;15.7;15.36;15.76;16.4;2.5;18.17;11.55;15.17;8.7;2.9;13;28.8;24;26.7;98.97;92.43;96.83;113.64;102.7;96.68;91.7;100.4;94.23;98.99;117.6;93.55;95.67;103.52;96.22;93.27;98.23;9.25;17.67;14;5;5;15;15.22;14.8;16;17.67;11;14.75;8;13;28;25.5;26;2;2
"44";"X2021T4";10.19;19.15;13.7;7.8;5.6;17.1;15.4;15.61;16.95;4.3;18.4;10.5;15.55;9.3;3;13;26.7;22.77;28.2;106.42;103.46;107.88;101.78;105.36;98.07;99.93;106.43;101.39;99.99;90.02;99.43;104.86;102.49;101.92;102.94;99.98;9.25;18;13;7;5;17;15.33;15;16.5;17.67;10;15;9;13;26;24.5;28;4;3
"45";"X2022T1";9.86;18.55;14.2;6.6;5.1;16.8;14.96;15.94;17.28;3.8;18.4;10.1;14.97;8.8;3.2;12.7;25.2;23.03;28.4;99.8;104.63;102.82;101.26;99.83;101.69;97.65;101.67;102.62;104.62;95.78;94.31;104.84;100.62;108.41;106.79;106.26;8.88;18;14;6;4.5;16;15.78;14.6;17;18;9.5;14.5;8;12;25;24.5;28;3;3
"46";"X2022T2";9.95;18.65;15.2;6.7;4.2;17.6;15.02;15.35;17.45;2.6;16.97;9.65;14.32;9.8;3;13.3;25.1;21.93;28.9;104.71;115.21;101.78;115.98;103.94;104.03;98.92;105.12;104.83;108.75;107.09;99.53;108.82;104.93;107.66;109.97;101.54;9.12;17.33;15;6;3.5;17;15.22;14.6;17;16.33;9.5;14;9;13;25;23.5;28;2;3
"47";"X2022T3";10.5;18.75;14.2;6.6;4.85;15.7;15.18;15.39;16.12;5.3;17.33;10.3;14.28;10;4.8;13.9;26.6;22.47;29.1;111.88;100.07;98.73;131.61;108.51;92.56;89.53;102.52;95.45;102.64;112.24;90.96;103.78;108.7;98.08;95.93;99.56;9.25;18.67;14;6;4.5;15;15;14.6;15.75;16.67;9.5;13.75;10;13;26;25;29;5;4
"48";"X2022T4";10.65;19.2;14.4;7.9;5.05;17;15.56;15.48;16.9;2.8;17;11.15;14.1;9.4;4.2;11.5;27.5;23.33;27.7;101.65;102.07;96.36;100.58;106.58;98.39;100.16;106.98;99.65;102.01;89.84;101.07;110.1;95.37;102.48;102.15;98.27;9.62;19;14;7;4.5;17;15.22;15;16.25;16.33;11;13.5;9;11;27;26;27;2;4
"49";"X2023T1";10.91;19;14.4;8;4.75;16.2;15.56;16.09;17.77;3.4;16.8;11.75;13.95;9.6;2.4;12.4;25.3;23.1;27.8;98.17;109.42;97.59;104.08;107.8;103.8;106.95;106.31;103.36;106.53;103.75;102.25;111.94;93.04;104.18;107.01;102.97;9.12;19;14;8;4.5;16;16.11;15;17.5;16.33;11;13.5;9;12;25;26;27;3;2
"50";"X2023T2";9.76;18.95;13.3;5.9;4.9;15.5;15.94;15.95;17.38;4.4;15.57;11.8;14.2;8.9;2.6;11.3;24.7;22.6;27.5;102.21;112.42;91.13;116.34;106.91;99.14;100.85;101.25;102.7;104.76;99.36;96.84;110.34;98.08;103.15;104.2;95.44;8.75;18.33;13;5;4.5;15;15.78;15.4;16.75;15;11;13.75;8;11;24;25.5;27;4;2
"51";"X2023T3";9.86;20.7;16.1;5.4;5.55;16;16.1;16.31;18.05;3.6;16.23;11.45;14.2;9.3;2.5;11.4;25.3;21.57;28.1;101.49;100.99;87.7;121.29;114.44;86.53;87.75;105.34;94.25;93.78;118.02;86.54;104.77;98.78;89.6;90.46;86.83;9;19.33;16;5;5;16;15.89;15.8;17.5;15.67;11;13.5;9;11;25;23.5;28;3;2
"52";"X2023T4";10.1;19.85;14.2;6.5;4.9;16.2;15.94;16.61;17.68;4.3;16.57;10.8;14.85;9.4;2.5;10.2;24.4;22.73;28.1;98.26;105.33;92.15;102.32;115.27;93.4;103.42;107.5;99.79;91.71;102.8;103.44;109.56;94.21;96.29;100.72;95.22;8.88;18.67;14;6;4;16;16.44;15.4;17;16;10;14.5;9;10;24;25.5;28;4;2
