Fecha,Hidráulica,Turbinación bombeo,Nuclear,Carbón,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Generación total
01-2013,483421.615,97794.01,0.0,0.0,1350506.381,38243.202,15966.877,299449.493,2465214.2759999996
02-2013,701195.744,71719.9,0.0,0.0,1124188.943,49751.813,13685.113,272587.982,2401985.886
03-2013,946849.253,122375.657,0.0,0.0,1424978.593,54256.76,15282.451,290232.974,2868975.1619999995
04-2013,1367425.94,41929.809,0.0,0.0,1160468.04,77868.13,14702.271,275494.158,2967059.059
05-2013,720789.542,26870.457,0.0,0.0,824983.652,91872.799,15738.643,261441.895,2075955.965
06-2013,490097.462,16869.4,0.0,0.0,842101.176,99520.808,11620.686,234956.223,2179220.7369999997
07-2013,488861.868,67.426,0.0,0.0,652816.305,103635.629,15222.437,236705.43,2638967.4570000004
08-2013,619428.059,45.023,0.0,0.0,794751.652,105039.432,14977.612,163727.366,2592676.84
09-2013,563449.615,373.206,0.0,0.0,721229.977,84660.543,15360.08,220844.616,2675267.946
10-2013,580934.889,25400.708,0.0,0.0,1076831.672,61182.992,15550.156,244353.563,2541044.342
11-2013,763044.102,29277.481,0.0,0.0,1594971.684,46036.894,14306.846,238766.642,2905216.4579999996
12-2013,560742.139,52824.725,0.0,0.0,1181840.032,39150.152,18952.909,232649.96,2882089.2519999994
01-2014,1055427.61,91564.342,0.0,0.0,1672953.906,29646.597,23594.166,237753.75,3293755.0200000005
02-2014,1762539.35,34913.908,0.0,0.0,1563177.707,40353.474,16362.769,121931.418,3530144.085
03-2014,1674716.216,61606.228,0.0,0.0,1205128.925,76030.87,17493.77,99844.956,3190453.291
04-2014,1808547.94,51934.095,0.0,0.0,814647.386,80846.306,14595.366,95561.77,2897259.3179999995
05-2014,578410.81,56331.322,0.0,0.0,1088167.317,101233.368,24157.023,135063.716,2549166.925
06-2014,510200.551,27106.02,0.0,0.0,791924.268,101098.835,22622.84,149858.852,2782620.5579999997
07-2014,428117.421,22080.07,0.0,0.0,848688.42,102486.001,25610.246,148947.56,2932671.147
08-2014,458539.027,19010.473,0.0,0.0,685561.837,100623.441,21825.932,129570.725,2488826.569
09-2014,559687.044,25806.615,0.0,0.0,523193.332,75939.931,25014.082,145933.043,2869141.6829999997
10-2014,512838.986,34562.44,0.0,0.0,850813.667,67108.995,25578.889,148272.476,2632049.263
11-2014,506836.021,46497.716,0.0,0.0,1336255.518,30682.416,8733.719,135954.749,2528065.1259999997
12-2014,821798.944,25826.828,0.0,0.0,950049.538,37200.823,23538.286,133323.083,2547048.2759999996
01-2015,637510.904,45097.203,0.0,0.0,1004888.307,44318.279,22498.831,155387.728,2702682.616
02-2015,883091.832,50156.551,0.0,0.0,1300523.644,45112.764,11152.613,136820.633,2770488.053
03-2015,1103229.922,45547.637,0.0,0.0,1221705.898,75058.064,17242.083,144819.236,2691985.222
04-2015,764016.645,41248.243,0.0,0.0,852240.595,78124.441,13462.115,145996.018,2328564.901
05-2015,837903.066,19123.963,0.0,0.0,1281048.611,102136.555,23210.147,143729.155,2691682.471
06-2015,615367.367,7088.998,0.0,0.0,597889.989,92061.312,22633.312,147177.85,2700342.2029999997
07-2015,585765.804,5052.961,0.0,0.0,723636.507,103782.464,23813.666,166249.505,3096634.8630000004
08-2015,459010.939,21555.761,0.0,0.0,798634.183,94101.131,25849.126,146978.34,2674027.3140000002
09-2015,486508.176,21190.607,0.0,0.0,750481.662,80228.545,24590.452,144684.05,2295282.6739999996
10-2015,466845.138,41775.047,0.0,0.0,1028249.604,56438.801,23152.033,147107.662,2451597.957
11-2015,550438.665,53535.96,0.0,0.0,784711.728,44746.515,25609.497,162445.525,2646709.1610000003
12-2015,357216.641,62472.122,0.0,0.0,794015.151,31157.671,18600.729,158721.644,2398081.4289999995
01-2016,1064810.658,86800.312,0.0,182066.181,1421817.058,27163.809,17978.447,165938.865,3101620.6400000006
02-2016,1250785.637,64450.186,0.0,170721.844,1458521.539,46675.854,17999.829,145956.229,3104662.5059999996
03-2016,1270890.058,49201.052,0.0,16884.75,1306900.619,68188.688,6491.213,145120.556,2836834.088
04-2016,1873413.577,34788.25,0.0,30854.482,1164545.176,73412.272,16458.326,157137.662,3310828.912
05-2016,1786868.031,17212.96,0.0,135898.829,808307.769,85120.451,23465.384,160704.119,2911781.917
06-2016,706738.072,6602.473,0.0,485479.93,725281.203,100554.186,19740.058,160729.266,1834911.0790000001
07-2016,602820.32,1709.406,0.0,1143244.062,721956.956,106345.157,24541.335,156060.878,2057232.571
08-2016,681431.941,17795.094,0.0,896241.82,785407.74,101534.314,26465.728,141539.489,2284761.444
09-2016,553720.12,10076.184,0.0,1070824.081,586690.279,82699.385,26025.667,154164.909,2390889.971
10-2016,658743.306,9576.077,0.0,538376.198,492171.563,64211.817,23799.49,165090.393,2779617.2270000004
11-2016,472717.184,31584.563,0.0,220540.579,976572.244,39695.043,26174.014,145800.944,2952338.7640000004
12-2016,587929.736,26399.767,0.0,797858.534,491771.587,34141.458,18021.865,159022.644,2650814.879
01-2017,679865.372,38834.123,0.0,184638.987,1058838.44,49348.663,22769.086,177788.855,3321206.594
02-2017,395350.792,64255.831,0.0,-7603.905,1236091.062,49207.014,24052.548,161763.791,2599361.749
03-2017,698081.623,18648.786,0.0,57306.036,1100376.868,71866.938,16467.348,180125.247,2136804.049
04-2017,396041.177,32661.691,0.0,32598.13,1030506.397,96971.235,9937.932,163424.496,1720213.3570000003
05-2017,377772.185,25645.146,0.0,567331.963,782901.786,85663.977,26170.64,176401.561,1892607.855
06-2017,366916.584,17317.241,0.0,1181187.509,723752.993,90180.371,22423.654,193371.126,2167839.191
07-2017,228639.717,24715.974,0.0,1358222.434,796496.61,102564.671,24963.881,208265.738,1623544.156
08-2017,195023.618,27441.81,0.0,1075133.148,778858.953,94436.136,26675.259,202746.59,1418333.447
09-2017,177554.596,13086.936,0.0,1514978.356,615907.132,89664.618,22789.674,204479.918,1198065.085
10-2017,217231.365,8529.22,0.0,994405.861,637397.076,75545.761,13098.374,223443.219,1984956.7070000002
11-2017,239168.623,15647.469,0.0,464732.368,873948.754,57391.504,26723.121,225430.526,2471840.98
12-2017,202932.821,45045.684,0.0,557114.376,1358109.866,36659.646,27261.152,215767.632,2801153.816
01-2018,355847.936,26283.07,0.0,794903.778,1219173.659,37487.461,26379.274,204289.854,2245976.2139999997
02-2018,428231.512,17614.378,0.0,345474.61,1011058.015,48206.37,24634.463,184593.213,2278881.392
03-2018,966951.655,74644.439,0.0,86164.85,1941582.556,58365.023,16878.413,200725.38,3293937.4850000003
04-2018,1176007.645,85104.504,0.0,434991.394,944467.352,72138.408,11908.221,213545.344,2495308.0039999997
05-2018,787099.702,25220.054,0.0,285990.389,750581.878,87491.671,18894.887,224691.828,1934818.6950000003
06-2018,885313.016,6093.642,0.0,1219500.506,546588.37,85368.474,22999.274,213790.861,1779340.1279999998
07-2018,790357.493,3233.219,0.0,1489740.609,564987.955,97928.569,25767.927,214933.944,1983139.3779999998
08-2018,655200.102,12775.246,0.0,1129288.332,728354.464,99437.018,27424.658,208196.898,2120204.537
09-2018,646718.965,3553.689,0.0,789020.82,509901.314,85173.992,25349.643,213204.676,1950338.318
10-2018,372850.292,40635.676,0.0,689531.967,1110894.927,63180.109,25612.957,229311.683,2178304.587
11-2018,454132.28,18520.566,0.0,1026736.986,1156856.067,34954.137,26666.383,233779.025,2546949.664
12-2018,539618.774,18235.73,0.0,977545.306,977812.034,33652.549,18057.117,237485.706,1975662.4230000002
01-2019,498000.701,27854.889,-2233.483,318926.231,1277136.993,46466.023,26022.214,252284.319,2362814.541
02-2019,532852.413,29745.204,-1865.453,121959.427,685497.884,65757.36,24335.148,218697.946,1657157.5680000002
03-2019,525850.947,38050.022,-1885.276,-8164.877,1176169.894,89369.758,22172.837,242607.914,2088913.412
04-2019,371615.305,41.638,-1683.771,-7266.238,1071785.443,74027.051,14455.465,218930.241,1745686.7859999998
05-2019,295840.986,2759.28,-1639.852,31624.628,1138472.047,102920.847,21555.692,236031.014,1792701.0310000002
06-2019,194490.28,4341.081,-1424.948,116647.303,763644.114,95087.708,26052.804,229330.651,1308484.4570000002
07-2019,349848.65,1567.206,-1585.7,445212.789,695703.645,95817.868,23450.273,233227.444,1395063.277
08-2019,359216.117,5380.542,-1534.124,531967.651,614050.53,92227.992,18781.99,231662.191,1316821.253
09-2019,399504.226,14377.673,-1474.172,978842.581,964221.211,79396.164,26136.091,230690.548,1710098.5080000001
10-2019,229935.938,596.789,-1585.836,1367512.121,877171.412,59072.731,25233.693,254429.558,1441877.0219999999
11-2019,410281.133,13302.16,-1727.77,1261413.431,1863694.203,30794.852,21943.085,242702.295,2577835.0879999995
12-2019,1326686.653,23718.795,-1929.199,1335318.285,1329337.817,33319.141,21812.787,229859.035,3005216.644
01-2020,1150910.25,40238.554,-1824.338,1295668.159,1264624.624,38982.897,21746.972,256007.055,2904773.7660000003
02-2020,791605.827,52839.558,-1530.636,670261.622,999361.437,76383.199,29962.532,245912.052,2363042.9690000005
03-2020,549093.805,79903.058,-1673.71,52868.589,1362043.934,89462.673,27320.824,225687.446,2347285.753
04-2020,722562.473,52793.349,-1471.675,-7810.984,778150.173,84007.859,15868.839,162750.041,1812591.6009999998
05-2020,573872.776,20353.092,-1528.594,419517.671,799915.256,122611.728,37434.732,197638.031,1748651.1020000002
06-2020,414579.573,2371.702,-1378.317,755301.588,705226.295,125719.417,45733.747,224406.992,1514862.726
07-2020,401794.023,15939.414,-1481.005,239353.851,862085.46,149627.031,50706.551,234424.371,1713106.1199999999
08-2020,678064.64,9667.293,-1438.014,94573.753,748195.029,133562.835,24003.739,232134.098,1824904.937
09-2020,498813.313,29.408,-1410.72,75891.008,865353.853,114774.156,40409.785,231504.668,1750163.144
10-2020,600696.52,8864.667,-1532.051,811094.837,1384592.364,86940.005,45684.798,225112.256,2351184.517
11-2020,860679.118,5622.116,-1627.381,1033575.772,1000035.773,52719.204,24197.523,216272.878,2158881.373
12-2020,793402.037,42149.815,-1803.602,915377.015,1806458.153,42567.867,54167.644,220776.087,2959251.6699999995
01-2021,1156726.799,19511.769,-1922.414,376514.96,1572457.728,56869.972,48365.712,238577.992,3092509.972
02-2021,1448328.696,43130.441,-1844.594,564543.441,1543768.847,66556.204,43697.575,188140.733,3333622.4960000003
03-2021,1206854.01,33243.969,-1782.468,34790.019,1236567.347,135179.263,57149.056,230964.708,2899958.353
04-2021,688403.318,40.76,-1514.55,-7863.47,803095.193,126849.586,49875.952,236818.831,1905083.64
05-2021,290441.517,6964.877,-1459.415,40838.675,1117194.048,167113.864,42052.955,236765.555,1860532.8159999999
06-2021,437704.852,1689.479,-1377.131,19186.491,781909.447,167295.625,38616.282,234863.3,1662078.9849999999
07-2021,621623.371,4984.374,-1406.653,285930.271,861972.109,194047.762,21077.659,234054.924,1937760.199
08-2021,890971.875,5580.197,-1390.498,388816.151,800036.86,177050.785,53787.808,220848.687,2148276.212
09-2021,670404.721,13888.608,-1421.638,466436.039,741561.983,122419.615,58925.46,240254.561,1847454.9479999999
10-2021,436414.186,20782.026,-1502.295,335818.943,983641.903,125618.954,60321.777,240951.905,1867730.751
11-2021,418506.807,13948.266,-1515.715,622041.206,1301057.976,87594.565,54550.345,235777.587,2111435.546
12-2021,499906.223,34510.719,-1647.835,150800.513,1513642.083,59680.733,37973.421,213934.162,2359647.341
01-2022,536516.595,22713.189,-1814.74,235049.402,1054684.583,109121.764,43169.707,214027.823,1980233.661
02-2022,225427.37,66606.09,-1686.195,100271.613,854732.853,114021.499,42578.119,222889.27,1526255.2010000001
03-2022,394115.428,33950.61,-1793.221,-5307.96,1522430.542,103558.208,41042.75,231046.468,2326144.006
04-2022,390279.487,60918.617,-1660.113,-5168.357,1252642.012,180786.618,52492.165,172200.537,2109319.436
05-2022,374208.697,31816.647,-1521.425,-4878.835,993180.908,221171.27,44354.404,196853.968,1861585.8940000003
06-2022,233498.096,45923.1,-1381.482,-4462.181,846420.919,224419.264,53027.832,147823.775,1551112.9859999998
07-2022,310307.15,36705.096,-1414.27,-4551.809,1062151.889,273831.829,58180.014,124256.258,1865432.236
08-2022,275578.849,30364.126,-1380.513,-4498.109,896294.431,249442.868,49220.397,99836.727,1600737.398
09-2022,589962.693,13568.659,-1329.154,-4227.405,908417.959,203378.696,35925.191,46838.491,1798091.689
10-2022,106594.813,16289.865,-1487.54,-4563.099,1347700.59,145970.135,53077.646,116749.491,1786382.54
11-2022,248528.751,49645.032,-1618.659,-4882.64,1543056.427,97979.936,45710.02,182408.697,2167328.863
12-2022,746427.337,90670.994,-1790.463,40482.416,1515102.741,62074.794,33189.093,132503.219,2579968.178
01-2023,1095708.81,124162.876,0.0,132263.414,1544385.733,103261.849,37191.928,131345.49,3036056.6859999998
02-2023,694364.416,37331.166,-1906.104,166978.364,937632.905,162522.889,47707.082,189857.95,2069416.4079999998
03-2023,457663.839,133935.004,-1620.911,13774.013,1550495.978,215884.729,34930.301,184105.019,2577014.8699999996
04-2023,313023.671,148471.504,-1631.35,-3541.133,1022152.0,285363.453,42079.123,187745.966,1998835.7169999997
05-2023,281982.878,95194.223,-1518.587,-3174.513,1204025.507,288779.883,49435.424,197831.57,2117249.485
06-2023,541298.668,27663.974,-1465.111,-3175.0,592030.098,270377.973,40721.366,192496.834,1664588.913
07-2023,361528.772,34258.234,-1424.366,-1470.73,760394.643,340760.096,55613.1,174248.131,1726802.9760000003
08-2023,277816.032,57542.76,-1456.286,-722.697,785535.2,317279.817,53631.275,153720.785,1645525.869
09-2023,284908.069,80367.261,-1422.672,-722.039,744550.263,224203.514,48262.525,161846.696,1544138.328
10-2023,349223.276,112553.497,-1308.797,-706.093,1486448.662,169671.004,50829.964,154395.874,2323122.2770000002
11-2023,913699.421,86130.362,-1383.145,-645.239,1704782.182,113838.775,43128.155,105680.195,2967259.0899999994
12-2023,1002284.098,93461.062,-44.789,-269.933,1220536.597,97004.884,51860.981,103181.364,2568328.9860000005
