Fecha,Hidráulica,Turbinación bombeo,Nuclear,Fuel + Gas,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Residuos no renovables,Generación total
01-2013,23626.071,101921.366,791102.28,0.0,299799.4,457700.909,34391.62,0.0,2789.327,189648.999,0.0,1900983.6180000002
02-2013,25382.153,98585.597,704865.69,0.0,270591.2,387778.286,37422.939,0.0,3138.977,173820.187,0.0,1701585.0289999999
03-2013,33676.436,118935.468,763921.91,0.0,218319.53,200482.245,43952.82,0.0,3571.003,187510.16,0.0,1570380.125
04-2013,36111.491,121572.3,746143.09,0.0,195988.147,138394.492,49990.895,0.0,3601.552,185425.613,0.0,1477227.5810000002
05-2013,42016.468,92599.693,755827.28,0.0,246442.86,194433.434,59467.679,0.0,3712.52,163486.112,35003.228,1592990.8989999997
06-2013,44377.043,82067.845,754496.7,0.0,258354.96,133330.52,62602.614,0.0,3607.226,145498.449,33173.735,1517509.0920000002
07-2013,51505.365,79644.315,758052.12,0.0,355838.41,109846.123,64909.843,0.0,3729.628,140015.401,34161.98,1597703.1840000001
08-2013,73725.132,70564.223,724601.36,0.0,414044.878,92176.905,52352.112,0.0,3961.8,87706.004,33131.466,1552263.88
09-2013,34921.181,42874.682,477284.76,0.0,441615.84,102111.375,48805.202,93.139,3735.219,133708.34,34046.735,1319196.4730000002
10-2013,42313.882,108831.453,-6895.79,0.0,452968.765,133260.756,43137.849,3886.416,3955.153,139131.593,35782.659,956378.336
11-2013,35737.655,90214.617,733810.27,0.0,369499.801,379534.341,35868.014,3847.284,3738.201,139213.193,31709.829,1823173.2049999996
12-2013,32086.046,108381.07,792218.45,0.0,393532.9,200830.73,27058.297,2006.323,3543.197,117691.198,37051.72,1714399.931
01-2014,34110.921,132070.227,781846.21,0.0,289636.7,399713.468,28311.17,2603.24,3450.038,128228.163,34813.0,1834783.1369999999
02-2014,28626.997,120108.191,715375.1,0.0,219780.73,311026.418,32798.581,3546.309,3479.072,103841.335,32156.071,1570745.0579999997
03-2014,32209.668,110393.908,790704.84,0.0,239858.71,235814.827,49117.711,7149.629,3309.205,106729.263,32244.646,1607532.407
04-2014,31709.236,123290.994,743248.59,0.0,216856.6,210205.474,55521.737,8356.658,3037.131,100065.52,34898.716,1527200.175
05-2014,68921.741,80156.402,789704.15,0.0,274978.69,164301.81,58224.877,11315.117,3448.834,125323.229,30428.24,1606803.0890000004
06-2014,81217.841,77404.348,717261.35,0.0,358556.684,135508.226,56189.059,11997.087,3437.32,123156.326,29912.652,1594640.893
07-2014,98310.901,83358.766,785212.49,3.646,343208.876,160498.382,61505.587,14507.215,3403.608,130310.038,32296.225,1712612.0880000002
08-2014,104257.208,67351.844,771583.21,10.553,430062.03,108813.363,55140.02,12949.437,3032.175,88409.533,33610.053,1675208.873
09-2014,52398.21,65395.03,760988.17,0.001,520607.48,71983.392,44636.65,8439.531,3328.103,126654.865,33077.769,1687509.2
10-2014,25857.587,80305.822,768263.33,1.625,338241.29,129001.009,43553.738,7129.742,3203.732,134289.73,34416.988,1564262.9679999999
11-2014,22341.205,114486.593,764958.01,-0.001,366807.94,256151.116,27880.474,2215.023,2836.794,130001.996,32836.272,1720515.423
12-2014,25183.187,115752.048,719084.29,5.6,398810.27,338648.7,31772.477,3641.932,3018.138,100843.213,34989.133,1771743.3879999998
01-2015,27133.953,105543.78,790443.58,0.0,381840.09,320828.78,36561.775,4567.882,2882.717,116293.764,33446.667,1819543.3099999998
02-2015,26365.548,93648.251,692551.26,0.0,286742.47,364808.506,31638.399,3202.265,2883.61,124155.391,18709.099,1644704.799
03-2015,35447.245,119645.529,771312.85,0.0,299939.87,278074.629,44420.621,6645.953,3170.815,137111.486,26658.599,1722436.8719999997
04-2015,45724.375,39745.82,622299.06,0.0,401704.76,205642.673,50275.588,6800.752,3119.7,126965.567,29874.362,1532152.6570000001
05-2015,68255.414,95507.099,585298.42,0.0,311086.93,170069.903,59781.961,12402.303,3368.477,135168.294,34589.577,1475528.378
06-2015,67860.551,43218.35,739479.05,0.0,357476.4,85380.265,57572.773,13669.509,3468.805,129886.595,33099.016,1531111.3140000002
07-2015,101171.817,42542.932,756603.02,0.0,455854.97,114714.08,56708.945,13366.988,3873.605,132945.23,29066.991,1706848.578
08-2015,97119.197,81712.672,729422.18,0.0,448614.951,117588.157,50515.38,10764.662,3446.421,93231.854,33411.695,1665834.1900000004
09-2015,48631.252,74362.764,587752.31,0.0,421658.47,111761.393,41969.249,8106.185,3783.534,131915.135,30323.733,1460264.0250000001
10-2015,28263.101,92751.882,-5479.213,6.254,504880.18,144410.656,34161.15,4271.234,3809.419,140034.935,34590.71,981694.054
11-2015,31328.239,101548.648,353635.304,9.519,387374.68,206807.496,33720.83,4574.902,3314.396,143114.829,30598.756,1296018.08
12-2015,27714.589,128063.838,792113.281,-0.001,585051.9,75907.028,25756.497,1603.829,3521.572,120729.544,30958.9,1791420.9779999997
01-2016,25303.712,169090.201,791761.401,0.0,363531.98,303375.252,26588.217,0.0,3608.722,123901.344,33075.391,1840783.0520000001
02-2016,29573.76,165810.174,698236.206,0.0,269690.72,330393.913,34427.388,0.0,3574.466,133609.972,29800.795,1695117.63
03-2016,32574.325,130437.398,767936.909,0.0,303703.94,337600.518,46117.014,546.832,3152.426,136257.228,35994.191,1793773.949
04-2016,31443.091,215960.986,765121.007,0.0,233717.67,203441.27,48963.609,7161.02,3286.457,135653.596,34548.79,1679297.4959999998
05-2016,57071.927,139934.125,789685.863,0.0,254065.93,193005.267,54442.971,6644.678,2689.509,139624.636,31944.895,1669109.801
06-2016,73975.508,100918.513,742344.7,0.0,334981.0,136683.68,58197.113,13693.586,2929.202,135987.234,25061.937,1624772.4729999995
07-2016,97880.653,48579.989,785127.428,0.0,385573.27,97272.12,56100.394,13284.728,3373.193,134515.617,32406.423,1654113.815
08-2016,87998.817,46171.604,770611.603,0.0,375800.23,91099.682,54887.329,9765.18,3690.759,97890.029,34958.676,1572873.909
09-2016,65454.939,45908.72,760779.744,0.0,411269.2,119176.705,47628.109,9610.164,3219.277,129626.573,34092.446,1626765.8760000002
10-2016,26457.656,82885.618,768764.304,0.322,520773.092,72305.898,35995.77,4979.304,3269.441,141980.375,35150.103,1692561.5610000002
11-2016,27566.016,128801.822,764388.461,9.275,613420.3,216885.516,27619.349,2816.776,3043.929,149235.11,13765.122,1947542.401
12-2016,33937.092,128597.253,773499.274,7.021,607938.57,123448.465,23090.945,1648.685,3069.661,121121.095,4002.166,1820353.206
01-2017,28199.751,147504.879,789593.01,0.0,531735.9,279388.201,28696.036,1826.287,2136.344,132384.956,4414.474,1945879.838
02-2017,28666.678,93973.108,694590.702,0.0,267034.701,207492.613,31863.495,2252.787,1957.372,139489.284,6850.949,1474171.6890000002
03-2017,36657.524,99349.997,785276.419,0.0,237315.44,201687.746,51466.731,8649.907,2254.314,151884.687,2626.378,1577169.1439999999
04-2017,30301.462,82185.028,727444.377,0.0,261070.8,135272.691,52164.001,10881.814,2147.929,130516.348,4988.803,1436973.2519999999
05-2017,32902.476,72679.102,778966.743,0.0,289979.26,141798.914,59757.905,12662.618,2164.798,135200.468,4592.459,1530704.743
06-2017,29922.248,43044.379,739064.247,0.0,408196.34,126511.758,58337.621,14847.322,2701.972,129381.823,4070.845,1556078.555
07-2017,29455.132,39138.658,711138.489,0.0,294732.818,127642.381,57047.046,13848.328,2878.812,127355.299,4619.416,1407856.379
08-2017,41551.076,38609.86,714776.149,0.0,297247.802,129170.998,49112.264,10007.806,3390.698,92802.239,4306.769,1380975.6600000001
09-2017,34870.512,58097.874,463540.62,0.0,337888.93,119105.401,46959.144,9260.806,3176.187,130713.874,4813.845,1208427.193
10-2017,42117.708,75811.834,24570.191,0.0,362699.84,113169.905,43905.193,8755.869,3461.823,143918.821,5975.105,824386.2889999999
11-2017,20921.98,114300.861,-8491.039,0.236,485437.76,237250.224,35249.99,3537.015,3303.364,152220.27,21.267,1043751.692
12-2017,18793.211,146536.334,611787.314,-0.001,374505.93,357023.105,29221.997,2297.124,2864.202,125071.863,6459.31,1674560.3900000001
01-2018,21998.309,131227.09,588493.968,0.0,316877.86,325231.057,32857.964,3685.665,2922.515,137729.659,10396.517,1571420.6039999998
02-2018,20431.277,100660.946,514879.717,0.0,303399.97,302390.442,31925.746,5072.307,2448.59,147223.531,7477.212,1435909.7380000001
03-2018,20314.187,155953.501,787408.091,0.0,196056.63,441341.342,45216.894,5118.285,3062.32,145126.606,7497.039,1807094.895
04-2018,19960.63,153222.269,764138.495,0.0,221922.47,233812.041,50958.614,6962.458,3060.066,131972.501,4680.483,1590690.0270000002
05-2018,47996.155,73619.445,771799.18,0.0,344856.47,147631.939,56488.904,9151.409,3263.933,144065.971,6075.646,1604949.0509999997
06-2018,58290.607,24021.364,761369.565,0.0,322110.0,109913.01,56406.186,12092.148,3282.809,142107.934,449.457,1490043.0799999996
07-2018,59172.134,15624.477,767045.654,0.0,340959.37,116651.394,60755.315,15258.031,3268.148,139104.514,1508.218,1519347.256
08-2018,65257.892,24173.295,749633.78,0.0,406864.53,79854.459,52665.53,10917.223,3451.63,93919.581,2702.255,1489440.1739999999
09-2018,41926.794,15443.555,759732.548,0.0,320400.14,58685.289,44264.251,8149.45,3366.817,139173.963,2398.601,1393541.408
10-2018,18385.615,110874.555,789186.622,0.001,399200.22,167566.623,39038.405,5691.578,3445.429,146617.753,6174.273,1686181.073
11-2018,20331.919,78265.044,755964.471,-0.001,472706.48,239409.536,25741.433,2100.946,3223.342,150888.528,6215.585,1754847.2839999998
12-2018,23887.179,83281.824,789763.382,-0.001,473286.3,239507.906,32034.883,3512.973,3091.019,124515.91,7071.024,1779952.4
01-2019,18320.701,92431.485,657933.802,0.0,524254.1,358037.294,35173.584,0.0,2667.557,138139.408,4403.51,1832785.7380000001
02-2019,21351.778,99109.992,694643.982,0.0,454067.5,170729.445,42619.58,1424.297,2741.161,139391.322,3515.711,1628170.471
03-2019,21804.493,88492.601,787549.833,0.0,407343.81,192867.062,50852.62,8108.496,2928.33,149597.864,5497.39,1715042.499
04-2019,29005.118,56643.282,753852.758,0.0,399019.3,252950.784,44136.794,7317.13,2605.355,145958.751,2919.092,1694408.3649999998
05-2019,39473.319,54594.308,784288.609,0.0,359201.33,205856.201,57935.211,11669.313,2301.731,148561.235,7133.075,1671014.3309999995
06-2019,51540.401,29521.627,739273.267,0.0,353712.4,154807.127,59246.63,14287.839,2848.72,138924.213,6449.128,1550611.3519999997
07-2019,56336.98,13855.421,772515.417,0.0,418685.53,152783.902,56759.575,13452.321,2950.701,137194.798,3159.923,1627694.5679999997
08-2019,70128.962,47036.126,768108.154,0.0,430670.74,97209.063,53498.639,11997.065,3463.736,93501.323,2639.235,1578253.0420000001
09-2019,54697.348,48065.968,749219.857,0.0,355141.76,130044.86,42037.245,7310.304,3390.18,132340.497,3715.762,1525963.7820000001
10-2019,27930.567,62176.883,738939.561,-0.001,364884.43,157367.931,41396.32,7506.202,3675.286,142524.2,8768.255,1555169.634
11-2019,20487.502,66745.93,36219.965,0.001,361537.5,463240.942,32449.509,2967.638,3201.867,141934.04,5133.517,1133918.41
12-2019,28001.972,155367.796,573617.615,-0.001,216304.97,237869.7,24855.435,1742.018,3163.963,108535.429,6403.009,1355861.9070000001
01-2020,32249.567,108158.592,787465.658,0.0,347766.13,191255.545,28692.071,1315.325,2804.021,121019.97,5892.22,1626619.099
02-2020,30693.045,85551.508,715263.663,0.0,276869.244,186908.104,40798.74,5645.095,2672.917,138453.95,2155.882,1485012.1479999998
03-2020,28723.772,121152.961,758708.746,0.0,160933.016,260829.255,34885.5,3725.853,3001.489,130003.822,4541.958,1506506.3730000001
04-2020,50159.251,113663.185,616855.824,0.0,217201.068,114045.472,43056.615,4212.705,3070.422,65044.147,3681.369,1230990.0580000002
05-2020,53933.744,118517.731,640715.578,0.0,275804.121,134346.826,56420.617,10581.928,3044.02,109091.092,4817.926,1407273.582
06-2020,34910.409,79339.072,755888.457,0.0,411921.444,141292.798,56715.134,12767.689,2941.788,116252.236,5506.646,1617535.6730000002
07-2020,35077.365,90299.564,765442.886,0.0,536351.239,97427.705,57838.866,12911.193,3461.265,124846.949,2741.178,1726398.21
08-2020,45058.178,89657.12,782352.989,0.001,411040.085,122532.097,56240.074,12674.283,3525.203,108728.748,4173.506,1635982.283
09-2020,43023.312,122137.296,759117.523,-0.001,412452.876,158757.129,48248.469,9224.035,3327.391,133236.02,5089.956,1694614.007
10-2020,35404.865,134239.012,774020.228,-0.001,287472.858,264867.847,45414.512,8479.22,3186.384,147755.627,7600.078,1708440.6310000003
11-2020,14245.26,118864.232,761934.777,0.001,401292.103,121275.995,28534.459,2856.928,2742.725,143107.616,6517.017,1601371.1120000002
12-2020,29379.811,155668.278,774261.36,-0.001,341423.739,404282.483,30502.682,2162.347,2817.199,131349.087,6418.216,1878265.2020000003
01-2021,24136.491,159147.453,773966.104,0.0,237998.034,377426.174,30330.378,1286.261,3039.889,131760.7,4440.956,1743532.44
02-2021,42168.572,173663.286,690172.252,0.0,76706.974,215209.702,30658.992,2365.916,2904.0,122598.079,1125.004,1357572.777
03-2021,57353.784,150743.665,777901.871,0.0,96713.293,192870.853,43083.276,4544.027,3433.155,149455.071,8592.858,1484691.8530000001
04-2021,55178.804,88085.208,753293.713,0.0,178718.546,129155.918,38759.429,4235.468,3492.078,145735.246,2335.551,1398989.9610000001
05-2021,50876.323,138631.822,780912.422,0.0,88495.861,172897.027,54726.513,10617.201,3366.127,142794.333,5812.863,1449130.492
06-2021,37953.239,66503.069,753949.892,0.0,338263.859,106706.223,52423.209,10716.084,3331.075,133728.018,5677.527,1509252.1949999998
07-2021,35459.233,72414.454,769425.58,0.0,348309.886,116428.0,57899.889,14086.011,3388.344,138696.152,39.845,1556147.393
08-2021,40319.814,89208.779,777331.306,0.0,397701.891,108016.688,53082.407,9407.691,3270.122,108970.206,29.283,1587338.1870000002
09-2021,35589.356,64443.752,643194.836,0.0,359526.701,95312.284,49131.451,7419.033,3430.135,130299.696,1499.26,1389846.504
10-2021,28930.73,129905.03,722295.071,0.0,331550.225,107799.05,43722.699,3381.809,3398.059,141179.213,4069.614,1516231.4999999998
11-2021,23869.564,104507.4,242388.856,0.001,544089.563,310544.713,34275.544,3478.634,2913.321,134901.285,1619.863,1402588.7429999998
12-2021,27798.868,136001.491,376380.259,-0.001,482114.03,347777.406,30749.789,2324.858,2736.693,119443.904,5559.896,1530887.1940000001
01-2022,21431.662,113970.584,786636.019,0.0,530695.551,197200.754,37797.741,2534.563,2383.466,128108.539,5997.984,1826756.8630000001
02-2022,20777.776,130710.931,713876.803,0.0,213635.5,189937.785,39235.857,5287.615,2399.243,134944.875,5786.082,1456592.467
03-2022,39463.488,144142.412,285342.719,0.0,222575.238,284585.608,28233.79,1760.767,3116.796,147177.256,4824.72,1161222.794
04-2022,40163.901,150453.057,326919.36,0.0,194813.625,215673.15,49490.798,7395.138,2821.816,99398.976,3769.23,1090899.051
05-2022,43885.17,153956.689,788195.884,0.0,212349.716,112767.431,66240.555,13924.431,2943.302,130319.204,4047.663,1528630.045
06-2022,21601.137,142054.623,761005.584,0.0,530908.861,98854.013,66465.648,14316.071,2892.498,101952.509,2078.892,1742129.8360000001
07-2022,27726.08,76168.054,778785.207,0.0,675245.787,77684.076,66275.505,14060.068,2533.066,75004.305,1744.01,1795226.1579999998
08-2022,29008.868,146582.901,784430.908,0.0,511393.565,99551.555,62802.595,13043.592,2800.46,43316.969,1335.931,1694267.344
09-2022,25570.669,144091.458,755350.272,0.0,493186.59,111153.367,49839.716,8417.616,2670.325,55362.859,276.503,1645919.375
10-2022,30278.496,189958.934,788944.284,0.0,573316.543,74672.33,40813.111,3946.198,2848.366,50828.443,3091.455,1758698.16
11-2022,22773.618,160176.735,732596.004,0.0,292084.49,329775.287,33772.813,2165.472,2709.357,95280.525,4909.006,1676243.3070000003
12-2022,31181.193,187141.678,789714.095,-0.001,233610.349,203206.052,25733.493,1257.509,2538.603,58809.544,3383.84,1536576.356
01-2023,26674.679,219239.658,768969.495,0.0,126093.122,312480.34,39854.496,3880.12,2490.419,54817.185,0.0,1555957.4370000002
02-2023,22304.12,131888.819,707369.183,0.0,240606.035,133859.902,36592.488,3294.565,2364.283,112083.352,1457.923,1393945.9759999998
03-2023,24968.931,211809.878,771310.964,0.0,146282.834,273829.25,61000.822,10046.187,2898.826,104868.451,3583.229,1611565.1449999996
04-2023,28083.215,225899.013,744936.154,0.0,299789.107,181151.133,68671.618,12344.321,2684.554,100164.239,4549.003,1667654.3490000002
05-2023,44155.278,231882.11,779995.987,0.0,201235.311,149520.732,59968.791,7465.8,2554.858,102677.709,3930.995,1581574.354
06-2023,57119.399,155691.028,754444.53,0.0,305905.477,82091.811,62788.56,10407.018,2362.022,104088.544,2117.778,1535453.6020000002
07-2023,50003.859,150009.996,770310.655,0.0,377915.884,93566.294,66055.575,13029.703,2736.582,91781.951,555.213,1615688.729
08-2023,53248.942,193529.448,738729.1,0.0,383461.108,162032.346,67663.768,14189.143,2609.664,50447.953,278.229,1666669.907
09-2023,32363.018,133945.287,646125.841,-0.001,294813.006,111586.483,52703.341,7968.576,2585.337,84465.708,758.436,1368268.0790000001
10-2023,25101.998,207628.873,103348.783,0.001,315025.61,187068.683,50187.429,6665.076,2503.977,72064.713,1711.482,972325.9619999999
11-2023,22240.49,165010.206,368862.403,-0.001,201862.629,292901.207,41486.898,2412.58,1495.396,56587.515,2730.821,1152859.3239999998
12-2023,26767.259,155204.173,786128.065,-0.001,295241.947,291966.218,35204.377,2834.06,1956.174,35953.144,2569.636,1633825.0530000003
